text00#0,"""『엔드리스 퀘스트』【기본편】"""
text10#0,"""『엔드리스 퀘스트』【응용편】"""
text100#0,"""돌아가기"""
Title#0,"""『엔드리스 퀘스트』【기본편】"""
text0001#0,"""『엔드리스 퀘스트』는 무작위로<br>나타나는 미션을 클리어하며<br><c f4a142>제한 시간 안에 하이 스코어를<br>노리는 퀘스트<c>입니다.<br>스코어는 다음 방법으로 얻습니다.<br>- 『미션 오더』 성공<br>- 에너미 격파<br><br>제한 시간은 다음 방법으로<br>늘릴 수 있습니다.<br>- 『미션 오더』 성공<br>- 『인터벌 에어리어』 도달"""
text0002#0,"""『미션 오더』는 각 미션마다<br>주어지며, 성공하면 <c f4a142>스코어를 얻거나<br>제한 시간을 늘릴<c> 수 있습니다.<br><br>제한 시간을 늘리면 더 깊은 곳까지<br>나아가 하이 스코어를 노릴 수 있습니다.<br><br>퀘스트 종료 보상도 더 좋아지므로<br>확실히 성공시키세요."""
text0003#0,"""『인터벌 에어리어』는 퀘스트 도중의<br>휴식 지점입니다.<br>플레이어가 이 에어리어에 도달하면<br><c f4a142>시간 경과가 멈추고<br>제한 시간이 일정량 증가<c>합니다.<br><br>하프 돌 사용 횟수도 회복되며<br>상점에서 아이템을 살 수도 있습니다.<br>다음 미션에 대비해 아이템을<br>보충하세요."""
text0004#0,"""『보상』과 『스코어』를 설명합니다.<br><br>에너미 드롭 아이템은 퀘스트 클리어 시<br>한꺼번에 획득할 수 있습니다.<br><br><yellow>스코어에 따라<br>레어 드롭 배율이 상승<c>하므로<br>협력해 높은 스코어를 노려 주세요.<br><br>엔드리스 퀘스트의 하이 스코어는<br>퀘스트·난도·조건별로 저장되며<br>퀘스트 카운터에서 확인할 수 있습니다."""
text0005#0,"""『스코어 종류』를 설명합니다.<br><br>엔드리스 퀘스트의 하이 스코어는<br>퀘스트 카운터에서 확인할 수 있습니다.<br><br>하이 스코어는 『난도』와<br>『조건』별로 저장됩니다."""
Title#1,"""『엔드리스 퀘스트』【응용편】"""
text0001#1,"""『미션 오더』의 종류를<br>설명합니다.<br><br><yellow>●가산형<c><br>목표를 달성할 때마다 획득 시간이 늘어납니다.<br><yellow>가산형 예) 에너미를 정면에서 쓰러뜨려라!<c><br><c 00ff00>●감산형<c><br>목표에 실패할 때마다 획득 시간이 줄어듭니다.<br><c 00ff00>감산형 예) 전투 불능이 되지 마라!<c><br><c ff4f3f>●달성형<c><br>목표 달성 시 시간이 늘지만 실패하면 0인<br>고위험 고수익 오더입니다.<br><c ff4f3f>달성형 예) 60초 안에 에너미 99체를 쓰러뜨려라!<c>"""
text0002#1,"""『성공 버프』를 설명합니다.<br><br><yellow>미션 오더를 달성<c>하면<br>다음 에어리어에서 플레이어에게<br>강화 버프가 적용될 수 있습니다.<br>이를 <c 00ffff>『성공 버프』<c>라고 합니다.<br><br><c 00ffff>성공 버프<c>는 해당 에어리어에서 유효합니다.<br><br><yellow>미션 오더 달성률에 따라<br>발생 확률이 증가<c>하므로<br>적극적으로 미션 오더 달성을<br>노려 보세요."""
text0003#1,"""『미션 액시던트』와<br>『라운드 액시던트』를 설명합니다.<br><br>다음 미션으로 넘어갈 때<br>『미션 액시던트』가 발생해<br><c ff4f3f>에너미 강화 등 여러 방해 효과가<br>나타날 수 있습니다. 효과는<br>해당 미션이 끝날 때까지 지속됩니다.<c><br><br>모든 미션을 클리어하면 2회차에 들어가며<br>『라운드 액시던트』가 발생합니다.<br>미션 액시던트처럼 여러 방해 효과가<br>나타나지만, <c ff4f3f>효과는 해당 회차 동안<c><br>지속됩니다."""
text0004#1,"""엔드리스 퀘스트의 하이 스코어는<br>조건별로 저장됩니다.<br><br><yellow>솔로:<c><br>1명이 퀘스트를 시작했을 때의 스코어입니다.<br><yellow>듀오:<c><br>2명이 퀘스트를 시작했을 때의 스코어입니다.<br><yellow>트리오:<c><br>3명이 퀘스트를 시작했을 때의 스코어입니다.<br><yellow>클래스별 4인:<c><br>4명이 멀티 파티를 구성했을 때<br>전원의 클래스가 모두 다른 경우의 스코어입니다.<br><yellow>프리:<c><br>모든 조건에서 저장되는 스코어입니다."""
