Title#0,"""Endless: Worlds Beyond"""
Explanation#0,"""This is the second version of the \""Endless:<br>Memories Beyond\"" training program.<br>Complete the missions you encounter on<br>each planet and aim for a high score.<br>You should find it very difficult to complete<br>them all within the time limit.<br>――――――――――――――――――――<br>Obtain a high score within the time limit.<br>Maximum damage／999,999"""
SimpleExplanation#0,"""Obtain a high score!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""VR Space (Enchanted Forest)"""
Area0L#0,"""ARKS Ship - VR Space (Enchanted Forest)"""
Area1S#0,"""VR Space (Urban Area)"""
Area1L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area2S#0,"""VR Space (Sanctum)"""
Area2L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area3S#0,"""VR Space (Ruins)"""
Area3L#0,"""ARKS Ship - VR Space (Ruins)"""
Area4S#0,"""VR Space (Coast)"""
Area4L#0,"""ARKS Ship - VR Space (Coast)"""
Area5S#0,"""VR Space (Canyon)"""
Area5L#0,"""ARKS Ship - VR Space (Canyon)"""
Area6S#0,"""VR Space (Quarry)"""
Area6L#0,"""ARKS Ship - VR Space (Quarry)"""
Area7S#0,"""VR Space (Facility)"""
Area7L#0,"""ARKS Ship - VR Space (Facility)"""
Area8S#0,"""VR Space (Shironia)"""
Area8L#0,"""ARKS Ship - VR Space (Shironia)"""
Area9S#0,"""VR Space (Facility)"""
Area9L#0,"""ARKS Ship - VR Space (Facility)"""
Area10S#0,"""VR Space (Corrupted Lillipa)"""
Area10L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area11S#0,"""VR Space (Mining Base)"""
Area11L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area12S#0,"""VR Space (Tokyo)"""
Area12L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area13S#0,"""VR Space (Las Vegas)"""
Area13L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area14S#0,"""VR Space (Corrupted Amduscia)"""
Area14L#0,"""ARKS Ship - VR Space (Corrupted Amduscia)"""
Area15S#0,"""VR Space (Kuron)"""
Area15L#0,"""ARKS Ship - VR Space (Kuron)"""
Area16S#0,"""VR Space (Volcanic Caves)"""
Area16L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area17S#0,"""VR Space (Mining Base)"""
Area17L#0,"""ARKS Ship - VR Space (Mining Base)"""
