name_7021#0,"""Lize"""
ssn_014550_0001#0,"""ฉันคือ Lize ผู้ติดตามของท่าน Nadereh"""
ssn_014550_0002#0,"""ถึงหน้าที่หลักๆ ของฉันจะเป็นบอดี้การ์ดก็เถอะ"""
ssn_014550_0003#0,"""ส่วน Mura จะรับผิดชอบเรื่องการบริหารจัดการน่ะ ถ้ามีคำถามอะไรก็ไปถามเขาได้เลย"""
ssn_014550_0011#0,"""ได้ยินมาว่าไปจัดการ DOLLS ในแคนยอนมาสินะ"""
ssn_014550_0012#0,"""การปราบพวกมันได้มากขนาดนั้น... นับว่ามีความหมายมากเลยล่ะ"""
ssn_014550_0013#0,"""ท่าน Nadereh ได้รับรู้ถึงผลงานแล้วล่ะ ขอให้โชคดีกับสิ่งที่ต้องทำในอนาคตนะ"""
ssn_014550_0021#0,"""การโจมตีครั้งนี้มีสเกลใหญ่กว่าที่เราเคยเห็นมาเลยล่ะ ทำให้มีผู้บาดเจ็บล้มตายมากมาย"""
ssn_014550_0022#0,"""แม้แต่ท่าน Nadereh เองก็ยังรู้สึกกดดัน..."""
ssn_014550_0023#0,"""แต่ท่านก็คือผู้นำของเรา ท่านจะต้องหาทางพาพวกเราผ่านเรื่องนี้ไปได้อย่างแน่นอน"""
ssn_014550_0101#0,"""ในที่สุดเมือง Retem ก็กลับมาสงบสุขสักที"""
ssn_014550_0102#0,"""พวกเราหลายคนกลับมาเล่นดนตรีกันอีกครั้ง ฉันลองไปดูที่โกดังเก็บเครื่องดนตรีมา..."""
ssn_014550_0103#0,"""แต่มันพังไปเยอะเลย... ไม่ได้รับการบำรุงรักษาที่ถูกต้องมาสักพักแล้วล่ะ"""
ssn_014550_0104#0,"""ต้องใช้วัสดุในการซ่อมแซม ช่วยไปรวบรวมมาให้หน่อยได้ไหม?"""
ssn_014550_0201#0,"""Alpha Reactors เป็นแหล่งพลังงานชนิดหนึ่ง..."""
ssn_014550_0202#0,"""ถ้าเอามาผ่านกระบวนการสักหน่อย ก็จะเอามาปรับใช้กับเครื่องดนตรีได้"""
ssn_014550_0203#0,"""อาจจะใช้เวลาสักหน่อย แต่ขอฝากด้วยนะ"""
ssn_014550_0211#0,"""ได้ยินมาว่า Stellar Seeds เป็นหินที่ตกลงมาตอนเกิดฝนดาวตกน่ะ..."""
ssn_014550_0212#0,"""ถ้านำมาปรับแต่งง่ายๆ ก็จะสามารถทำให้ใช้งานกับเครื่องดนตรีได้"""
ssn_014550_0301#0,"""ไม่ต้องกังวลไปนะ ไม่ต้องฝืนตัวเองล่ะ"""
ssn_014550_0401#0,"""ไหนขอดูหน่อยสิ อืม... สภาพดีใช้ได้เลย"""
ssn_014550_0402#0,"""พวกนี้น่าจะใช้ซ่อมได้สบายเลย ขอบคุณมากนะ ช่วยได้เยอะเลย"""
ssn_014550_0403#0,"""ก็ผ่านมาสักพักแล้วตั้งแต่ที่ฉันแสดงครั้งสุดท้าย หวังว่าฝีมือคงจะไม่ตกหรอกนะ..."""
ssn_014550_0404#0,"""ฉันต้องตั้งใจซ้อมให้หนักเลยล่ะ เพื่อที่จะสนับสนุนการร้องเพลงของท่าน Nadereh ได้อย่างเต็มที่"""
ssn_014550_0501#0,"""เพราะความช่วยเหลือของคุณ น่าจะซ่อมทุกอย่างได้แล้วล่ะ"""
ssn_014550_0502#0,"""ก็ผ่านมาสักพักแล้วตั้งแต่ที่ฉันแสดงครั้งสุดท้าย หวังว่าฝีมือคงจะไม่ตกหรอกนะ..."""
ssn_014550_0503#0,"""ฉันต้องตั้งใจซ้อมให้หนักเลยล่ะ เพื่อที่จะสนับสนุนการร้องเพลงของท่าน Nadereh ได้อย่างเต็มที่"""
ssn_014550_0601#0,"""กลับมาแล้วสินะ หา Stellar Seeds เจอไหม?"""
ssn_014550_0602#0,"""ส่งมอบ Stellar Seeds 5 ชิ้น"""
ssn_014550_0603#0,"""กลับ"""
ssn_014550_0701#0,"""ไหนขอดูหน่อยสิ อืม... สภาพดีใช้ได้เลย"""
ssn_014550_0702#0,"""พวกนี้น่าจะใช้ซ่อมได้สบายเลย ขอบคุณมากนะ ช่วยได้เยอะเลย"""
ssn_014550_0703#0,"""ก็ผ่านมาสักพักแล้วตั้งแต่ที่ฉันแสดงครั้งสุดท้าย หวังว่าฝีมือคงจะไม่ตกหรอกนะ..."""
ssn_014550_0704#0,"""ฉันต้องตั้งใจซ้อมให้หนักเลยล่ะ เพื่อที่จะสนับสนุนการร้องเพลงของท่าน Nadereh ได้อย่างเต็มที่"""
ssn_014550_0801#0,"""ยังรวบรวมมาไม่พอเลย... ไปหามาเพิ่มอีกหน่อยแล้วค่อยกลับมานะ"""
ssn_014550_0901#0,"""เข้าใจล่ะ... เอาไว้โอกาสหน้าละกันนะ"""
