11_voice_NPC_5125_100#0,"""어머, 내게 무슨 용무라도?"""
11_voice_NPC_5125_104#0,"""괜찮다면,<br>내 일을 도와주면<br>기쁘겠는데."""
text03002#0,"""마음이 생기면<br>말을 걸어 줘."""
text02001#0,"""어머, 소문으로 듣던<br><%me>?"""
11_voice_NPC_5125_100#1,"""어떻게 알았냐고?<br>어리석은 질문이네."""
text02003#0,"""너는 조금 더,<br>자신이 처한 입장을<br>정확히 파악하는 게 좋겠어."""
text02004#0,"""내 이름은 아리스.<br>사실 지금, 어떤 기관의 요청으로<br>아크스의 실태를 조사하고 있어."""
text02005#0,"""괜찮다면,<br>내 일을 도와주면<br>기쁘겠는데."""
text02006#0,"""마음이 생기면<br>말을 걸어 줘."""
11_voice_NPC_5125_100#2,"""어머, 마침 잘 왔어."""
favs_before_020#0,"""조사 중에 이런 걸 얻었어.<br>너에게 줄게."""
favs_after_010#0,"""늘 도움받고 있으니까.<br>감사의 표시라고 생각해 줘."""
favs_after_020#0,"""그럼, 다음에도 잘 부탁해."""
favs_present_010#0,"""아리스에게서『엑스큐브』를 받았습니다."""
favs_present_020#0,"""아리스에게서『익스트림 패스』를 받았습니다."""
favs_present_030#0,"""아리스에게서『리리파리움 풀 차지』를 받았습니다."""
favs_present_040#0,"""아리스에게서『엑스큐브』를 받았습니다."""
favs_present_050#0,"""아리스에게서『장비 조건 완화 +30%』를 받았습니다."""
favs_present_060#0,"""아리스에게서『엑스큐브』를 받았습니다."""
favs_present_070#0,"""아리스에게서『포톤 크리스탈』을 받았습니다."""
favs_present_080#0,"""아리스에게서『포톤 크리스탈』을 받았습니다."""
favs_present_090#0,"""아리스에게서『포톤 크리스탈』을 받았습니다."""
favs_present_100#0,"""아리스에게서『파셋 포리아』를 받았습니다."""
favs_present_add_001#0,"""아리스에게서『<%skit_text>』를 받았습니다."""
