name_7418#0,"""Slona"""
ssn_012010_0001#0,"""Bienvenido a Central"""
ssn_012010_0002#0,"""Aquí es donde muchos ARKS tienen su hogar. Por supuesto, un gran número de Meteorn también."""
ssn_012010_0003#0,"""También hay una buena variedad de instalaciones disponibles, así que no dudes en echar un vistazo."""
ssn_012010_0101#0,"""Bruder me informó de los detalles. Lo estaba esperando"""
ssn_012010_0102#0,"""De acuerdo, te diré lo que sé."""
ssn_012010_0103#0,"""¿Conoces las revistas regionales?"""
ssn_012010_0104#0,"""De acuerdo, empecemos."""
ssn_012010_0105#0,"""Durante tus viajes, es posible que te encuentres con lo que parecen gigantescos Mags repartidos por Halpha. Los llamamos Mags regionales."""
ssn_012010_0106#0,"""Se dice que pueden pasar cosas buenas si das objetos a un Regional Mag"""
ssn_012010_0107#0,"""Si encuentras alguno, asegúrate de ofrecerle algo"""
ssn_012010_0201#0,"""...Oh, ya veo. En otra ocasión, entonces."""
