name_7210#0,"""Slona."""
ssn_005070_0001#0,"""Bienvenido a Central."""
ssn_005070_0002#0,"""Muchos ARKS viven aquí. También hay una buena gama de instalaciones disponibles, así que definitivamente echa un vistazo."""
ssn_005070_0101#0,"""¿Conoces los Mag regionales?"""
ssn_005070_0051#0,"""Si no es así, permítame informarle"""
ssn_005070_0052#0,"""De acuerdo, empecemos."""
ssn_005070_0102#0,"""Pueden ver lo que parecen Mags gigantes salpicados alrededor de Halpha. Los llamamos Mags Regionales."""
ssn_005070_0103#0,"""Se dice que pueden pasar cosas buenas si das artículos a un Mags Regional"""
ssn_005070_0104#0,"""Si ves uno por ahí, definitivamente inténtalo"""
ssn_005070_0201#0,"""¡Hola, has vuelto! Parece que has encontrado un Mag Regional."""
ssn_005070_0202#0,"""Me pregunto si podrás sentir los efectos de las cosa buena de inmediato..."""
ssn_005070_0203#0,"""Hay muchos otros Mags regionales por ahí, con sus propios efectos especiales."""
ssn_005070_0204#0,"""Si encuentras otros, asegúrate de ofrecerles algo"""
ssn_005070_0301#0,"""Oh... nos vemos en otro momento entonces."""
