name_7008#0,"""Rossa"""
msn_011065_010_0010#0,"""Oh hey, it's finally my turn."""
msn_011065_010_0020#0,"""I want to say what I gotta say face to face, so come over here."""
msn_011065_010_0030#0,"""Yo, it's Rossa. What's up."""
msn_011065_010_0040#0,"""I'm gonna teach you about Weapon Enhancement."""
msn_011065_010_0050#0,"""Your weapon and armor efficiency can get better by tempering them."""
msn_011065_010_0060#0,"""Anyways, materials! You can use other weapons and stuff as materials to improve your gear. Also, you're gonna need N-Grinders."""
msn_011065_010_0070#0,"""Listen, it'd be a pain in the ass to make you go and find all that stuff just for a lesson,"""
msn_011065_010_0080#0,"""so here, I'll give you plenty of both. Go try Enhancing some stuff at the Item Lab."""
msn_011065_010_0401#0,"""Received Prim Sword x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0402#0,"""Received Prim Knuckles x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0403#0,"""Received Prim Rifle x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0404#0,"""Received Prim Machineguns x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0405#0,"""Received Prim Rod x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0406#0,"""Received Prim Wand x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0501#0,"""Received Prim Sword x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0502#0,"""Received Prim Knuckles x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0503#0,"""Received Prim Rifle x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0504#0,"""Received Prim Machineguns x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0505#0,"""Received Prim Rod x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0506#0,"""Received Prim Wand x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0407#0,"""Received Prim Katana x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0507#0,"""Received Prim Katana x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0408#0,"""Received Prim Boots x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0508#0,"""Received Prim Boots x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0409#0,"""Received Prim Takt x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0509#0,"""Received Prim Takt x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
msn_011065_010_0410#0,"""Received Prim Slash x10, N-Grinder x10, and 10000 <pict reb_meseta>Meseta."""
msn_011065_010_0510#0,"""Received Prim Slash x2, N-Grinder x2, and 2000 <pict reb_meseta>Meseta."""
