msc_011260_0010#0,"""ทางนี้"""
msc_011260_0020#0,"""จากข้อมูลที่ ครอว์ฟอร์ด (Crawford) ให้มา ฉันคำนวณการกระจายตัวของการเคลื่อนไหวของพวก DOLLS ได้แล้วล่ะ"""
msc_011260_0030#0,"""ป่าแห่งนี้ดูเหมือนจะเต็มไปด้วยศัตรูที่แข็งแกร่งมากๆ เลย"""
msc_011260_0040#0,"""ถ้าเทียบกันแล้วแนวชายฝั่งนี้น่าจะปลอดภัยกว่า แต่ก็ไม่คิดว่าจะได้ข้อมูลอะไรมากนักหรอกนะ"""
msc_011260_0050#0,"""ส่วนสถาบันวิจัยแห่งนี้..."""
msc_011260_0060#0,"""ประกาศถึงสมาชิก ARKS ทุกคน"""
msc_011260_0070#0,"""ยืนยันการเคลื่อนไหวของพวก DOLLS ใน ป่าเรซอล (Resol Forest) และ ซากสถาบันวิจัยแวนฟอร์ด (Vanford Laboratory Ruins)"""
msc_011260_0080#0,"""ขอให้เจ้าหน้าที่ ARKS ในบริเวณใกล้เคียงเตรียมพร้อมและเข้าตรวจสอบด้วย"""
msc_011260_0090#0,"""นี่ไอน่าพูดค่ะ"""
msc_011260_0100#0,"""คุณไอน่าเหรอคะ? มีอะไรหรือเปล่า?"""
msc_011260_0110#0,"""พวกเราก็ไปได้นะคะ จะให้พวกเราทำยังไงดี?"""
msc_011260_0120#0,"""ตกลง งั้นฉันขอให้พวกคุณมุ่งหน้าไปที่ ซากสถาบันวิจัยแวนฟอร์ด (Vanford Laboratory Ruins) นะคะ เมื่อถึงที่เกิดเหตุแล้ว ช่วยรายงานสถานการณ์ให้เราทราบด้วยค่ะ"""
msc_011260_0130#0,"""ส่วนที่ ป่าเรซอล (Resol Forest) ฉันกำลังส่งทีมของ บรูเดอร์ (Bruder) ไปที่นั่นค่ะ"""
msc_011260_0140#0,"""เข้าใจแล้วค่ะ พวกเราจะออกเดินทางเดี๋ยวนี้เลย"""
msc_011260_0150#0,"""ซากสถาบันวิจัยงั้นเหรอ... เอาเถอะ นี่จะเป็นบททดสอบที่ดีเลยว่าพวกเราพัฒนาขึ้นแค่ไหนแล้ว"""
msc_011260_0160#0,"""...ดูเหมือนว่าจะมีเจ้าหน้าที่ ARKS คนอื่นๆ อยู่ที่นั่นด้วยนะคะ ฝากไปสมทบและให้ความช่วยเหลือพวกเขาด้วยค่ะ"""
msc_011260_0170#0,"""รับทราบ"""
msc_011260_0180#0,"""ฉันเตรียมของพร้อมลุยแล้วล่ะ แล้วพวกเธอสองคนล่ะ?"""
msc_011260_0190#0,"""พร้อมลุย!"""
msc_011260_0200#0,"""ถ้าเธอพร้อมแล้วล่ะก็ งั้นไปเจอกันที่นั่นเลยนะ"""
