name_7008#0,"""รอสซ่า (Rossa)"""
msn_011065_002_0010#0,"""เอาล่ะ ดูเหมือนเธอจะตีบวกอาวุธนั่นได้แล้วสินะ"""
msn_011065_002_0020#0,"""ก่อนอื่นเลย ไม่ต้องห่วงเรื่องคืนของให้ฉันหรอกนะ ของพวกนั้นเป็นของเธอแล้วล่ะ"""
msn_011065_002_0025#0,"""อุปกรณ์สวมใส่มันไม่ได้งอกออกมาจากต้นไม้หรอกนะ เพราะงั้นถ้าเจออันไหน ก็เก็บไว้ใช้ทำอะไรแบบนี้บ้างก็ดีนะ"""
msn_011065_002_0030#0,"""อ้อ เธอสามารถทำแบบเดียวกันนี้กับพวกชุดเกราะได้ด้วยเหมือนกัน ลองเอาไปทำดูนะ"""
msn_011065_002_0040#0,"""ก่อนอื่นเลย ไม่ต้องห่วงเรื่องคืนของให้ฉันหรอกนะ ของพวกนั้นเป็นของเธอแล้วล่ะ"""
msn_011065_002_0050#0,"""อ้อ แล้วก็นี่ SPECIAL WEAPON ที่ฉันเพิ่งเอาไปตรวจสอบมา ฉันคิดว่ามันน่าจะมีประโยชน์นะ"""
msn_011065_002_0060#0,"""มีอะไรอีกไหมนะ... อ้อ พวก N-Grinder สามารถหาได้ตาม กล่องไอเทม (Item Container) ทั่วไปที่เธอเจอตามพื้นที่ด้านนอกน่ะ"""
msn_011065_002_0070#0,"""ฉันก็ยังไม่รู้เหมือนกันนะว่าใครเป็นคนเอาไปวางไว้ตรงนั้น แต่ก็นะ ฉันไม่บ่นหรอก"""
msn_011065_002_0080#0,"""ให้ตายสิ ฉันบ่นอะไรยืดยาวเนี่ย? โทษทีนะถ้ามันยากที่จะจำเรื่องพวกนี้ทั้งหมด"""
msn_011065_002_0090#0,"""เอาน่า ยิ่งเธอทำบ่อยๆ เดี๋ยวก็เริ่มจับทางได้และชินไปเองแหละ"""
msn_011065_002_0100#0,"""ถ้าเมื่อไหร่ที่เธอสับสนว่าต้องทำอะไรต่อไป ก็แค่จำสิ่งที่พวกเราเคยบอกไปให้ได้ก็พอ เข้าใจไหม?"""
msn_011065_002_0110#0,"""และงานของฉันตรงนี้ก็เสร็จเรียบร้อย! หวังว่าจะได้ร่วมงานกับเธออีกนะ!"""
msn_011065_002_0120#0,"""...หืม?"""
msn_011065_002_0130#0,"""อ้อ โอเค ครอว์ฟอร์ด (Crawford) บอกว่าอยากเจอเธอน่ะ ช่วยไปที่ ห้องบัญชาการ (Command Room) หน่อยได้ไหม? เขารออยู่น่ะ"""
