msc_011220_0010#0,"""นี่ ขอบใจนะที่มาหา"""
msc_011220_0020#0,"""...รู้ไหม ฉันน่ะเกลียดการฝึกของพ่อมาตลอดเลย"""
msc_011220_0030#0,"""'ลูกยังพยายามไม่ถึง 100% เลยนะ ขืนเป็นแบบนี้ลูกเป็นเจ้าหน้าที่ ARKS เต็มตัวไม่ได้หรอก' พ่อชอบบอกฉันแบบนี้"""
msc_011220_0040#0,"""ก็ฉันเป็นลูกสาวของ 'เขา' เลยนะ เข้าใจใช่ไหม? ฉันก็ควรจะเก่งกว่าเจ้าหน้าที่ ARKS คนอื่นๆ สิ"""
msc_011220_0050#0,"""ช่วงนี้ฉันเลยเฝ้าถามตัวเองมาตลอดว่า 'ทำไมพ่อถึงไม่ยอมให้ฉันไปสู้เคียงข้างเขาบ้างล่ะ?'"""
msc_011220_0060#0,"""...จนกระทั่งในการต่อสู้ครั้งล่าสุด ฉันถึงได้เข้าใจเหตุผลแล้วล่ะ"""
msc_011220_0070#0,"""ตอนที่ บรูเดอร์ (Bruder) บอกให้ฉันหลับตาลง ใบหน้าของทุกคนใน เอลิโอทาวน์ (Aelio Town) ก็ผุดขึ้นมาในหัวฉันเลย"""
msc_011220_0080#0,"""ก่อนหน้านี้ ฉันไม่เคยคิดเลยว่าตัวเองต่อสู้ไป 'เพื่ออะไร' ฉันแค่... อยากเป็นเจ้าหน้าที่ ARKS เหมือนพ่อก็แค่นั้นเอง"""
msc_011220_0090#0,"""มันก็แค่นั้นแหละ... และพ่อก็รู้เรื่องนั้นดี เขามองฉันทะลุปรุโปร่งเลย"""
msc_011220_0100#0,"""กว่าฉันจะมารู้ตัว มันก็สายไปแล้วในตอนนี้ที่เขาไม่อยู่แล้ว"""
msc_011220_0110#0,"""ว่าฉันไม่เคยเข้าใจความหมายของการต่อสู้เลยแม้แต่น้อย"""
msc_011220_0120#0,"""ตอนนั้น พอเจ้า Nagrus ตัวนั้นมันเปลี่ยนเป็นสีแดง ขาของฉันมันก็... หยุดกึกไปเลย ฉันช็อกจนทำอะไรไม่ถูก"""
msc_011220_0130#0,"""แล้วจากนั้น ความกลัวก็เกาะกินใจฉัน"""
msc_011220_0140#0,"""...ไม่ได้กลัวที่จะสู้นะ ไม่ใช่เลย..."""
msc_011220_0150#0,"""แต่ฉันกลัวว่า... ถ้าเกิดฉันกลายเป็นตัวถ่วงพวกเธอสองคนขึ้นมาล่ะ?"""
msc_011220_0160#0,"""...เพราะงั้น... ฉันก็เลย..."""
msc_011220_0170#0,"""...ไอน่า"""
msc_011220_0180#0,"""เธอลืมสัญญาที่เราให้ไว้ต่อหน้า ครอว์ฟอร์ด (Crawford) แล้วเหรอ?"""
msc_011220_0190#0,"""อะไรนะ?"""
msc_011220_0200#0,"""'ฉันจะช่วยด้วย' ที่ฉันพูดไป ฉันหมายถึงพูดกับเธอนะ รู้ไหม"""
msc_011220_0210#0,"""...มาน่อน"""
msc_011220_0220#0,"""เราจะไปจัดการ Dark Falz ด้วยกัน ไม่ใช่หรือไง?"""
msc_011220_0230#0,"""มาน่อน... ขอบใจนะ"""
msc_011220_0240#0,"""ฉันอยากจะแข็งแกร่งขึ้น แข็งแกร่งพอที่จะสู้กับพวก DOLLS ได้เหมือนกับพวกเธอสองคน"""
msc_011220_0250#0,"""และฉันต้องการให้พวกเธอทั้งสองคนช่วยฉัน ฉันอยากให้พวกเราสู้... ไปด้วยกัน"""
msc_011220_0260#0,"""อืม รู้ไหมว่ามันก็เป็นแผนของพวกเรามาตั้งแต่ต้นแล้วล่ะ"""
msc_011220_0270#0,"""ขอบใจนะ... ทั้งสองคนเลย... ขอบใจมากจริงๆ"""
