msc_011060_0010#0,"""รอตรงนี้แป๊บนึงนะ"""
msc_011060_0020#0,"""เสร็จแล้ว"""
msc_011060_0030#0,"""ฉัน... ก็ด้วย... แฮ่ก..."""
msc_011060_0040#0,"""เอาล่ะ ดีมาก พักผ่อนตามสบายได้เลย"""
msc_011060_0050#0,"""อ๊ะ เธอเองก็คงเข้ารับการฝึกหลักสูตรเดียวกับพวกเราแน่เลย"""
msc_011060_0060#0,"""พวกเธอทั้งสามคนได้แสดงให้เห็นถึงความสามารถและทักษะในการกำจัดศัตรูแล้วล่ะ"""
msc_011060_0070#0,"""ไอน่า คะแนนของเธอสูสีกับเพื่อน Meteorn ทั้งสองคนของเธอเลยนะ"""
msc_011060_0080#0,"""เอ๊ะ? จริงเหรอคะ? ...แฮะๆ"""
msc_011060_0090#0,"""ดูเหมือนพวกเธอจะเข้าขากันเป็นทีมที่ยอดเยี่ยมเลยนะ"""
msc_011060_0100#0,"""ด้วยผลการประเมินนี้ เราเริ่มส่งพวกเธอลงสนามจริงได้เลยล่ะ เดี๋ยวฉันจะรายงานเรื่องนี้ให้ ครอว์ฟอร์ด (Crawford) ทราบทันที"""
msc_011060_0110#0,"""มาสู้กับพวก DOLLS ด้วยกันเถอะ!"""
msc_011060_0120#0,"""เรื่องสุดท้าย ทั่วทั้งดาว ฮาลฟา (Halpha) มีศูนย์ฝึกแบบนี้กระจายอยู่เต็มไปหมดเลยล่ะ"""
msc_011060_0130#0,"""แต่ละที่ก็จะมีหลักสูตรที่แตกต่างกันไป เพื่อใช้ฝึกฝนทักษะและความสามารถที่หลากหลาย"""
msc_011060_0140#0,"""ถ้าไปเจอที่ไหนเข้า ก็อย่าลืมเข้าไปใช้ประโยชน์เพื่อดึงศักยภาพของตัวเองออกมาให้เต็มที่ล่ะ"""
