msc_011170_0010#0,"""...ฉัน... ฉันแค่..."""
msc_011170_0030#0,"""ใครๆ ก็มีความกลัวตอนต่อสู้กันทั้งนั้นแหละ ไม่ใช่เรื่องที่เธอต้องเก็บมาคิดมากหรอก"""
msc_011170_0040#0,"""..."""
msc_011170_0050#0,"""แต่ว่า เราทุกคนต้องก้าวข้ามความกลัวนั้นไปให้ได้ ไม่งั้นเราก็จะสู้ต่อไปไม่ได้"""
msc_011170_0060#0,"""ไอน่า ลองหลับตาลงสิ"""
msc_011170_0070#0,"""สิ่งที่เธอเห็นอยู่ตอนนี้ นั่นแหละคือเหตุผลในการต่อสู้ของเธอ"""
msc_011170_0080#0,"""ดีมาก เข้าใจไหม?"""
msc_011170_0090#0,"""พวกเธอสามคนกลับไปที่ เซ็นทรัลซิตี้ (Central City) เถอะ แล้วไปรายงานเรื่องนี้ให้ ครอว์ฟอร์ด (Crawford) ทราบด้วย"""
msc_011170_0100#0,"""แล้วคุณจะไปไหนต่อเหรอ?"""
msc_011170_0110#0,"""ฉันจะมุ่งหน้าไปรับมือกับการบุกของพวก DOLLS จุดต่อไปน่ะ"""
msc_011170_0120#0,"""...เข้าใจแล้ว"""
msc_011170_0130#0,"""ฉันคาดหวังในตัวพวกเธอสามคนอยู่นะ"""
