name_7007#0,"""หลิวหลิน (Liu Lin)"""
msn_011063_007_0010#0,"""เป็นยังไงบ้างคะ? เรียนรู้สกิลมาแล้วใช่ไหม? คุณคงไม่ได้... เลือกสกิลผิดหรอกนะคะ?"""
msn_011063_007_0020#0,"""แหม ฉันพูดว่า 'เรียนรู้' แต่ถ้าจะให้ถูกคือ ความรู้พวกนั้นมันถูกถ่ายทอดเข้าไปในความทรงจำของคุณโดยตรงเลยต่างหากค่ะ"""
msn_011063_007_0030#0,"""คุณยังคงต้องฝึกฝนเพื่อให้สามารถใช้งานสกิลได้อย่างมีประสิทธิภาพนะคะ อย่าลืมนำไปใช้บ่อยๆ จนกว่าจะชินเป็นนิสัยล่ะ"""
msn_011063_007_0040#0,"""อย่าลืมนำไปใช้บ่อยๆ จนกว่าจะชินเป็นนิสัยนะคะ"""
msn_011063_007_0050#0,"""นอกจากนี้ ฉันได้โอนไอเทมบางส่วนเข้าไปในช่องเก็บของ (Inventory) ของคุณแล้วนะคะ มีทั้งอุปกรณ์สวมใส่และบัตรไอเทมที่เกี่ยวกับ Class Skills ค่ะ"""
msn_011063_007_0055#0,"""นอกจากนี้ ฉันได้โอนไอเทมบางส่วนเข้าไปในช่องเก็บของ (Inventory) ของคุณแล้วนะคะ"""
msn_011063_007_0060#0,"""Class และอาวุธบางประเภทอาจจะเข้ากับบางคนได้ดี แต่ก็อาจจะไม่เข้ากับคนอื่นเลย กรุณาเลือกให้เหมาะกับสไตล์ของคุณเองนะคะ"""
msn_011063_007_0070#0,"""เรื่องสุดท้ายคือ... อ้อ ครูฝึกของแต่ละ Class จะอยู่ทางฝั่งทิศใต้ของเมืองค่ะ"""
msn_011063_007_0080#0,"""พวกเขาสามารถสอนอะไรคุณได้มากกว่าฉันเยอะเลย เพราะงั้นลองไปปรึกษาพวกเขาดูนะคะ"""
msn_011063_007_0090#0,"""เฮ้อ... ปกติฉันไม่ค่อยพูดเยอะขนาดนี้หรอกนะ เหนื่อยเอาเรื่องเลยค่ะ"""
msn_011063_007_0100#0,"""ฉันอธิบายทุกอย่างได้ชัดเจนพอแล้ว... ใช่ไหมคะ?"""
msn_011063_007_0110#0,"""งั้นส่วนของฉันก็มีเพียงเท่านี้ค่ะ หวังว่าเราจะได้ร่วมงานกันอีกนะคะ"""
msn_011063_007_0401#0,"""ได้รับ Prim Sword, Prim Knuckles, Prim Rifle, Prim Machineguns, Prim Rod, Prim Wand, Prim Katana, Prim Boots และ N-All Skill Tree Reset"""
msn_011063_007_0501#0,"""ได้รับ Prim Sword, Prim Knuckles, Prim Rifle, Prim Machineguns, Prim Rod, Prim Wand, Prim Katana และ Prim Boots"""
msn_011063_007_0601#0,"""ได้รับเซ็ตอาวุธ Renessa +29, Renessa Arma +29 จำนวน 3 ชิ้น และ N-All Skill Tree Reset"""
msn_011063_007_0602#0,"""ได้รับเซ็ตอาวุธ Renessa +29 และ Renessa Arma +29 จำนวน 3 ชิ้น"""
