name_7004#0,"""ครอว์ฟอร์ด (Crawford)"""
msn_011062_0010#0,"""ไง ขอบใจที่แวะมานะ"""
msn_011062_0020#0,"""เข้าเรื่องกันเลยนะ ฉันอยากให้เธอเรียนรู้เกี่ยวกับสถานที่นี้ให้มากขึ้นอีกหน่อย"""
msn_011062_0030#0,"""โดยเฉพาะเธอที่เพิ่งมาถึงดาว ฮาลฟา (Halpha) ฉันมั่นใจว่ายังมีเรื่องอีกเยอะที่เธออยากรู้"""
msn_011062_0040#0,"""เหล่าโอเปอเรเตอร์ (Operator) ที่นี่จะคอยสนับสนุนเธอในเรื่องนี้ สำหรับรายละเอียดลึกๆ ลองไปปรึกษาพวกเธอได้เลย"""
msn_011062_0050#0,"""เอาล่ะ ก่อนอื่นช่วยไปคุยกับ หลิวหลิน (Liu Lin) หน่อยจะได้ไหม?"""
msn_011062_0101#0,"""ฉันขอบคุณมากเลยนะที่มาร่วมต่อสู้ไปกับพวกเรา"""
msn_011062_0102#0,"""ในอนาคตยังมีการต่อสู้ที่ใหญ่กว่านี้รออยู่ แต่ฉันก็หวังว่าทุกอย่างจะผ่านไปได้ด้วยดี ดีใจที่มีเธออยู่ด้วยนะ"""
msn_011062_0201#0,"""ถ้ามีอะไรที่ทำให้เธอกังวลใจ ก็ทำตัวตามสบายแล้วบอกฉันได้เลยนะ"""
msn_011062_0202#0,"""พวกโอเปอเรเตอร์ (Operator) เองก็พร้อมให้คำปรึกษาเธอได้อย่างแน่นอน"""
msn_011062_0301#0,"""ขอบใจที่อาสาไปทำภารกิจที่อันตรายแบบนี้นะ"""
msn_011062_0302#0,"""อย่างที่ฉันเคยบอกไปแล้ว เน็กซ์ เอลิโอ (Nex Aelio) นั้นแข็งแกร่งจนน่ากลัวมาก ระมัดระวังตัวให้ดีที่สุดล่ะ"""
msn_011062_0303#0,"""ขอให้โชคดีในการร่วมทางไปกับ บรูเดอร์ (Bruder) นะ"""
msn_011062_0401#0,"""ฉันส่งพิกัดของ 'โคคูน (Cocoon)' ที่อยู่ใกล้ที่สุดไปให้แล้ว มันคือศูนย์ฝึกซ้อมที่มีประสิทธิภาพสูงมาก จะมีครูฝึกรอให้รายละเอียดเธออยู่ที่นั่นนะ"""
msn_011062_0402#0,"""เตรียมตัวให้พร้อมแล้วมุ่งหน้าไปที่นั่นได้เลย ขอให้โชคดีนะ"""
