name_7008#0,"""รอสซ่า (Rossa)"""
msn_011065_0010#0,"""โย่ว! ดูเหมือนจะถึงตาฉันแล้วนะ"""
msn_011065_0020#0,"""ฉันอยากเห็นหน้าเธอชัดๆ หน่อย เพราะงั้นมาหาฉันตรงนี้ทีนะ ฉันรออยู่นะ!"""
msn_011065_0030#0,"""ฉันชื่อ รอสซ่า (Rossa) ยินดีที่ได้รู้จักนะ"""
msn_011065_0040#0,"""ฉันจะมาสอนเธอเกี่ยวกับการอัปเกรดอุปกรณ์ของเธอนะ"""
msn_011065_0050#0,"""เธอสามารถเพิ่มความแข็งแกร่งให้อาวุธและชุดเกราะของเธอได้ด้วยการอัปเกรดพวกมันน่ะ"""
msn_011065_0060#0,"""ขั้นตอนการอัปเกรดจำเป็นต้องใช้อาวุธชิ้นอื่นเป็นวัตถุดิบ รวมถึงต้องใช้ N-Grinder ด้วยนะ"""
msn_011065_0070#0,"""อืมมม... มันคงจะน่ารำคาญน่าดูเลยนะถ้าฉันสั่งให้เธอออกไปหาอาวุธกับพวก N-Grinder มาเยอะแยะ..."""
msn_011065_0080#0,"""เพราะงั้นครั้งนี้ ฉันจะให้ของทั้งสองอย่างกับเธอไปเลย ลองเอาไปทำดูด้วยตัวเองที่ ห้องแล็บไอเทม (Item Lab) นะ"""
msn_011065_0401#0,"""ได้รับ Prim Sword x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0402#0,"""ได้รับ Prim Knuckles x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0403#0,"""ได้รับ Prim Rifle x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0404#0,"""ได้รับ Prim Machineguns x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0405#0,"""ได้รับ Prim Rod x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0406#0,"""ได้รับ Prim Wand x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0501#0,"""ได้รับ Prim Sword x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0502#0,"""ได้รับ Prim Knuckles x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0503#0,"""ได้รับ Prim Rifle x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0504#0,"""ได้รับ Prim Machineguns x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0505#0,"""ได้รับ Prim Rod x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0506#0,"""ได้รับ Prim Wand x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0407#0,"""ได้รับ Prim Katana x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0507#0,"""ได้รับ Prim Katana x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0408#0,"""ได้รับ Prim Boots x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0508#0,"""ได้รับ Prim Boots x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0409#0,"""ได้รับ Prim Takt x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0509#0,"""ได้รับ Prim Takt x2, N-Grinder x2 และ 2000 N-Meseta"""
msn_011065_0410#0,"""ได้รับ Prim Slash x10, N-Grinder x10 และ 10000 N-Meseta"""
msn_011065_0510#0,"""ได้รับ Prim Slash x2, N-Grinder x2 และ 2000 N-Meseta"""
