name_7008#0,"""ロッサ"""
msn_011065_001_0010#0,"""ロッサだ。<br>よろしくな。"""
msn_011065_001_0020#0,"""おれが、教えるのは“武器の強化”についてだ。"""
msn_011065_001_0030#0,"""武器や防具ってのは、<br>鍛えることで性能がよくなる。"""
msn_011065_001_0040#0,"""つまり、おれたちアークスと、同じってことだ。"""
msn_011065_001_0050#0,"""……違うか？"""
msn_011065_001_0060#0,"""……違うな。"""
msn_011065_001_0070#0,"""いや、違わないか……？"""
msn_011065_001_0080#0,"""強化には“強化素材”って呼ばれる<br>別の武器なんかと、“N-グラインダー”ってのが必要だ。"""
msn_011065_001_0090#0,"""んー、それぞれ集めてきてくれ……ってのも、<br>なんか面倒くさいな。"""
msn_011065_001_0100#0,"""今回は、両方ともやるから、<br>“アイテムラボ”で強化してみてくれ。"""
msn_011065_001_0401#0,"""プリムソードを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0402#0,"""プリムナックルを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0403#0,"""プリムライフルを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0404#0,"""プリムマシンガンを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0405#0,"""プリムロッドを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0406#0,"""プリムウォンドを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0501#0,"""プリムソードを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0502#0,"""プリムナックルを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0503#0,"""プリムライフルを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0504#0,"""プリムマシンガンを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0505#0,"""プリムロッドを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0506#0,"""プリムウォンドを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0101#0,"""おう、よく来てくれたな！<br>戦力はいつでも歓迎だぜ！"""
msn_011065_001_0102#0,"""バリバリ活躍してくれよな！<br>期待してるぜ！"""
msn_011065_001_0201#0,"""あんた、着実に力をつけてるな。<br>頼もしいぜ。"""
msn_011065_001_0202#0,"""クロフォードも感心してるみたいだしな。<br>まあ、その調子で頑張ってくれよな！"""
msn_011065_001_0407#0,"""プリムカタナを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0507#0,"""プリムカタナを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0408#0,"""プリムブーツを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0508#0,"""プリムブーツを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0409#0,"""プリムタクトを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0509#0,"""プリムタクトを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0410#0,"""プリムスラッシュを10個、N-グラインダーを10個、10000<pict reb_meseta>メセタを入手しました。"""
msn_011065_001_0510#0,"""プリムスラッシュを2個、N-グラインダーを2個、2000<pict reb_meseta>メセタを入手しました。"""
