name_7009#0,"""ออเรนจ์ (Oranje)"""
msn_011064_001_0010#0,"""อ๊ะ อยู่นี่เอง! ฉันชื่อ ออเรนจ์ (Oranje) นะ"""
msn_011064_001_0020#0,"""เอาล่ะ มาเริ่มกันเลยดีไหม?"""
msn_011064_001_0030#0,"""เธอเคยลองใช้งาน ร้านอาหาร (Food Stand) หรือยัง?"""
msn_011064_001_0040#0,"""ถึงแม้เจ้าหน้าที่ ARKS ทุกคนจะต้องการอาวุธและชุดเกราะ แต่เรื่องอาหารการกินก็สำคัญแทบจะพอๆ กันเลยนะ!"""
msn_011064_001_0050#0,"""การกินอาหารให้ครบถ้วนจะช่วยเพิ่มพลังพิเศษให้ร่างกายเธอ เอาไว้ใช้จัดการพวก DOLLS ยังไงล่ะ!"""
msn_011064_001_0060#0,"""ก่อนอื่นเลย เธอต้องไปรวบรวมวัตถุดิบมาก่อน ไหนดูสิ... เอาเป็นเนื้อของพวก เทมส์ (Tames) ดีไหม?"""
msn_011064_001_0070#0,"""อ้อ พวก เทมส์ (Tames) เป็นสัตว์รักสงบที่เดินไปมาอยู่นอก เซ็นทรัลซิตี้ (Central City) น่ะ มีทั้ง ไดอัน (Dian), ซันนี่ (Sunny), แพต (Patt), มูเบล (Moobel), ทอเบล (Taubel) แล้วก็อื่นๆ อีกเพียบเลย"""
msn_011064_001_0080#0,"""ฉันส่งพิกัดไปให้แล้ว ลองไปแถวๆ นั้นแล้วหาดูนะ ตกลงไหม?"""
msn_011064_001_0101#0,"""ฉันเสียใจด้วยจริงๆ นะกับเรื่องที่เกิดขึ้นที่ เอลิโอทาวน์ (Aelio Town) ดีใจที่เธอไม่ได้รับบาดเจ็บอะไร"""
msn_011064_001_0102#0,"""ตอนนี้เธอควรจะไปพักผ่อนก่อนนะ เข้าใจไหม?"""
msn_011064_001_0201#0,"""การตั้งใจทำภารกิจมันก็ดีอยู่หรอก แต่ก็อย่าลืมกะจังหวะให้ตัวเองได้พักบ้างล่ะ"""
msn_011064_001_0202#0,"""รักษาสุขภาพให้แข็งแรงสมบูรณ์ไว้เสมอ จะได้พร้อมในเวลาที่จำเป็นต้องลุยจริงๆ นะ"""
