Title#0,"""T: Вечный Апокалипсис"""
Explanation#0,"""Внимание всем ARKS.<br>[Дабл] и [Глубокая Тьма]<br>замечены в атмосфере Набериуса.<br>Дарк Фальц [Дабл] закрывает<br>проход к [Глубокая Тьма]<br>Приказ всем ARKS: уничтожить врагов.<br>――――――――――――――――――――<br>Лимит прохождения: Только один раз<br>Лимит времени регистрации группы: час с начала создания<br>Поражение: смерть, время истекло."""
SimpleExplanation#0,"""Победите [Глубокая Тьма]"""
Area0S#0,"""Небо Набериуса"""
Area0L#0,"""Небо Набериуса: Шатл"""
Area1S#0,"""Конец мира"""
Area1L#0,"""Конец мира"""
Area1S#1,"""Точка возврата"""
Area1L#1,"""Точка возврата"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""Вы будете доставлены на фронт<br>в ближайшее время. Ваша цель<br>заключается в формировании пути<br>к [Глубокая Тьма] посредством<br>победы над Дарк Фальц [Дабл]."""
NpcComMsg2#0,"""Этот Дарк Фальц... мы даже<br>не можем понять на сколько он<br>силён. Будьте осторожны, и,<br>пожалуйста, вернитесь к нам<br>в целости и сохранности..."""
NpcComMsg1#1,"""Вы открыли путь к<br>[Глубокая Тьма]. Вам нужно<br>только лишь ослабить противника."""
NpcComMsg2#1,"""У нас нет подробных распоряжений<br>или инструкций для вас. Смело<br>сражайтесь за жизнь...<br>Это Приказ. Это приказ!"""
