TrialName#0,"""콜드 포톤 융기"""
TrialBeginMsg#0,"""특이환경 하에서 에너미를 섬멸하라！"""
TrialAbstract#0,"""콜드 포톤을 이용해 에너미 토벌"""
Wave1Msg#0,"""에너미 제1파 접근！\u3000"""
Wave2Msg#0,"""에너미 제2파 접근！"""
Wave3Msg#0,"""추가 WAVE 발생！"""
NpcComOnBegin#0,"""/voice11_voice_navi004_trial_0001_019 에너미 반응을 다수 확인했어요!<br>주변의 포톤이 융기상태인 걸로 보이니, 그 쪽도 경계해 주세요!"""
NpcComOnBegin2#0,"""공기중에 발생해 있는 건 “콜드 포톤”이에요.<br>불안정한 상태라서 큰 힘으로 충격을 주면 폭발할 거에요."""
NpcComOnWave2#0,"""/voice11_voice_navi004_trial_0001_027 에너미 반응이 추가로 확인됐어요!<br>콜드 포톤의 융기도 촉진되고 있어요."""
NpcComOnExWave#0,"""/voice11_voice_navi004_trial_0001_041 에너미 섬멸을 확이……어?<br>아직 더 오는 것 같아요. 섬멸해 주세요."""
NpcComOnSuccess#0,"""/voice11_voice_navi004_trial_0001_069 에너미의 섬멸이 다시 확인됐어요.<br>감사합니다!"""
NpcComOnSuccessNoBonusWave#0,"""/voice11_voice_navi004_trial_0001_069 에너미의 섬멸이 확인됐어요.<br>감사합니다!"""
NpcComOnFailure#0,"""/voice11_voice_navi004_trial_0001_073 어머……에너미가 철수했어요.<br>포톤 반응도 정상치로 돌아왔어요."""
