TrialName#0,"""단시간 협소지역 에너미 소탕"""
TrialBeginMsg#0,"""제한 시간 내에 에너미를 섬멸하라!"""
TrialAbstract#0,"""제한 시간 내에 모든 에너미를 쓰러뜨리기"""
Toast_AddTimeLimitWaveClear#0,"""에너미 섬멸!<br><yellow>제한시간 증가: $(0)초<c>"""
Toast_WaveClear_11300060_01#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_02#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_03#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_04#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_05#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_06#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_07#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_08#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300060_09#0,"""에너미 섬멸!<br>강력한 에너미의 반응 있음!"""
Toast_WaveClear_11300070_01#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_02#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_03#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_04#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_05#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_06#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_07#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_08#0,"""에너미 섬멸!<br>더 많은 에너미의 반응 있음!"""
Toast_WaveClear_11300070_09#0,"""에너미 섬멸!<br>강력한 에너미의 반응 있음!"""
NpcComOnBegin#0,"""에너미의 출현을 확인!<br>최대한 빨리 섬멸을 부탁한다."""
NpcComOnFirstAddTime#0,"""에너미 격파의 영향으로,<br>철수까지 약간 유예가 생긴 것 같아요."""
NpcComOnWaveClear#0,"""추가적인 적성 반응을 확인했습니다!<br>전투에 대비하세요!"""
NpcComOnSuccessByTimeOver#0,"""…적의 공세가 멈췄군.<br>어떻게든 막아낸 겉 같아. 협조해줘서 고마워."""
NpcComOnSuccess#0,"""에너미의 섬멸 확인!<br>임무 완료야. 협조해줘서 고마워!"""
