Begin#0,"""/ci2 1 앗! 좀 도와주면 안 될까?<br>에너미가 꽤 많아서."""
Success#0,"""/ci9 1 고마워! 덕분에 살았어.<br>다음엔 내가 보답할게!"""
Failure#0,"""/ci5 3 미안해<br>일단 내려갈게."""
Dead#0,"""/ci4 3 이… 이런 곳에서…"""
Begin_v2#0,"""/ci2 1 앗! 좀 도와주면 안 될까?"""
Success_v2#0,"""/ci9 1 고마워! 덕분에 살았어.<br>다음엔 내가 보답할게!"""
Failure_v2#0,"""/ci5 3 미안해<br>일단 내려갈게."""
Dead_v2#0,"""/ci4 3 이… 이런 곳에서…"""
Begin_7001001_a#0,"""/ci2 1 앗! 너 딱 적당할때 만났네!_a<br>잠깐 도와주면 안될까?"""
Success_7001001_b#0,"""/ci9 1 갑자기 부탁해서 미안해. 덕분에 살았어.<br>고마워._b"""
Failure_7001001#0,"""/ci4 3 미안해<br>너도 위험할 것 같으면 도망쳐."""
Dead_7001001#0,"""/ci4 3 으으… 이럴리가…"""
BuddyDead_7001001#0,"""/ci4 3 으으… 이럴리가…"""
Begin_7001001_v3#0,"""/ci2 1 앗! 너 딱 적당할때 만났네!<br>잠깐 도와주면 안될까?"""
Success_7001001_v3#0,"""/ci9 1 갑자기 부탁해서 미안해. 덕분에 살았어.<br>고마워."""
Failure_7001001_v3#0,"""/ci5 3 미안해<br>너도 위험할 것 같으면 도망쳐."""
Dead_7001001_v3#0,"""/ci4 3 으으… 이럴리가…"""
BuddyDead_7001001_v3#0,"""/ci4 3 으으… 이럴리가…"""
Begin#1,"""＊＊開始"""
Success#1,"""＊＊成功"""
Failure#1,"""＊＊失敗"""
Dead#1,"""＊＊死亡"""
Begin_v2#1,"""＊＊開始(Ver2)"""
Success_v2#1,"""＊＊成功(Ver2)"""
Failure_v2#1,"""＊＊失敗(Ver2)"""
Dead_v2#1,"""＊＊死亡(Ver2)"""
Begin_7001001#0,"""＊＊開始(Ver無し)"""
Success_7001001#0,"""＊＊成功(Ver無し)"""
Failure_7001001#1,"""＊＊失敗(Ver無し)"""
Dead_7001001#1,"""＊＊死亡(Ver無し)"""
BuddyDead_7001001#1,"""＊＊相方死亡(Ver無し)"""
Begin_7001001_v3#1,"""＊＊開始(Ver3)"""
Success_7001001_v3#1,"""＊＊成功(Ver3)"""
Failure_7001001_v3#1,"""＊＊失敗(Ver3)"""
Dead_7001001_v3#1,"""＊＊死亡(Ver3)"""
BuddyDead_7001001_v3#1,"""＊＊相方死亡(Ver3)"""
Begin#2,"""＊＊開始"""
Success#2,"""＊＊成功"""
Failure#2,"""＊＊失敗"""
Dead#2,"""＊＊死亡"""
Begin_v2#2,"""＊＊開始(Ver2)"""
Success_v2#2,"""＊＊成功(Ver2)"""
Failure_v2#2,"""＊＊失敗(Ver2)"""
Dead_v2#2,"""＊＊死亡(Ver2)"""
Begin_7002001#0,"""＊＊開始(Ver無し)"""
Success_7002001#0,"""＊＊成功(Ver無し)"""
Failure_7002001#0,"""＊＊失敗(Ver無し)"""
Dead_7002001#0,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#0,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#0,"""＊＊開始(Ver3)"""
Success_7002001_v3#0,"""＊＊成功(Ver3)"""
Failure_7002001_v3#0,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#0,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#0,"""＊＊相方死亡(Ver3)"""
Begin#3,"""＊＊開始"""
Success#3,"""＊＊成功"""
Failure#3,"""＊＊失敗"""
Dead#3,"""＊＊死亡"""
Begin_v2#3,"""＊＊開始(Ver2)"""
Success_v2#3,"""＊＊成功(Ver2)"""
Failure_v2#3,"""＊＊失敗(Ver2)"""
Dead_v2#3,"""＊＊死亡(Ver2)"""
Begin_7001001_a#1,"""/ci2 1 앗! 너 딱 적당할때 만났네!<br>잠깐 도와주면 안될까?_a"""
Success_7001001_b#1,"""/ci9 1 갑자기 부탁해서 미안해. 덕분에 살았어.<br>고마워._b"""
Failure_7001001#2,"""＊＊失敗(Ver無し)"""
Dead_7001001#2,"""＊＊死亡(Ver無し)"""
BuddyDead_7001001#2,"""＊＊相方死亡(Ver無し)"""
Begin_7001001_v3#2,"""＊＊開始(Ver3)"""
Success_7001001_v3#2,"""＊＊成功(Ver3)"""
Failure_7001001_v3#2,"""＊＊失敗(Ver3)"""
Dead_7001001_v3#2,"""＊＊死亡(Ver3)"""
BuddyDead_7001001_v3#2,"""＊＊相方死亡(Ver3)"""
