TrialName#0,"""$(0)"""
TrialBeginMsg#0,"""모든 <pict minigame_checkp>체크 포인트를<br>2:30 이내에 통과하라!"""
TrialAbstract#0,"""모든 <pict minigame_checkp>체크 포인트를<br>2:30 이내에 통과"""
MLineMsg_TransferSoon#0,"""매칭이 완료되었습니다. 5초 후에 전송하겠습니다."""
MLineMsg_Success#0,"""필드 레이스<br>\""$(0)\""종료！"""
MLineMsg_TimeOver#0,"""필드 레이스 실패<br>타임 오버！"""
MLineMsg_GoalNotice_01#0,"""$(0)등/$(1)명 중"""
MLineMsg_GoalNotice_02#0,"""$(0) 골 인！"""
MLineMsg_GoalNotice_03#0,"""클리어 타임：$(0):$(1).$(2)"""
MLineMsg_GoalNotice_04#0,"""스코어 심볼 획득수：$(0)個"""
MGoalNotice_PlayerFinish#0,"""$(0) 골 인！（$(1)등/$(2)명 중）"""
MBreakawayNotice_PlayerExit#0,"""$(0)에서 이탈하였습니다."""
