ProgressCount#0,"""$(0)/$(1)"""
TrialSuccessMsg#0,"""트라이얼 <br>\""$(0)\""성공"""
TrialFailureMsg#0,"""트라이얼 <br>\""$(0)\""실패"""
TrialCancelMsg#0,"""트라이얼 <br>\""$(0)\""에서 이탈"""
RewardTextClear#0,"""트라이얼 <br>\""$(0)\""성공"""
RewardTextRew#0,"""보수"""
RewardTextMeseta#0,"""<pict reb_meseta>$(0)"""
RewardTextItemNameNum#0,"""$(0)×$(1)"""
RewardTextItemName#0,"""$(0)"""
ProgDefenceWave#0,"""Wave．"""
ProgNumPlayerDied#0,"""전투 불능 횟수"""
FLineMsg_TimeOver#0,"""트라이얼 실패<br>타임 오버!"""
FLineMsg_DefenceTarget_Dead#0,"""트라이얼 실패<br>방어 대상 피해가 큼!"""
MJournal_HostName#0,"""호스트 플레이어"""
MJournal_PlayerNum#0,"""참가 인원"""
MJournal_RemainDecide#0,"""레이스 시작까지"""
MJournal_RemainBoot#0,"""＊시작까지 앞으로"""
MSelectTitle#0,"""필드 레이스 코스 선택"""
MButtonGuide_HostMenu#0,"""길게 눌러 매칭 상태 변경"""
MButtonGuide_HostMenuTail#0,"""수주 중인 필드 레이스\u3000$(0)"""
MButtonGuide_HostTitle#0,"""$(0)"""
MButtonGuide_HostMessage#0,"""$(0)을<br>지금 바로 시작하시겠습니까?"""
MButtonGuide_HostYes#0,"""바로 시작하기"""
MButtonGuide_HostNo#0,"""매칭 그만두기"""
MButtonGuide_MemberMenu#0,"""길게 눌러 매칭 상태 변경"""
MButtonGuide_MemberMenuTail#0,"""수주 중인 필드 레이스\u3000$(0)"""
MButtonGuide_MemberTitle#0,"""$(0)"""
MButtonGuide_MemberMessage#0,"""필드 레이스 참가를<br>취소 하시겠습니까？"""
MButtonGuide_MemberYes#0,"""네"""
MButtonGuide_MemberNo#0,"""아니오"""
MStartNotice_HostPlayer#0,"""필드 레이스 참가 접수를 시작했씁니다."""
MStartNotice_MemberPlayer#0,"""$(0)의 매칭에 참여했습니다."""
MCancelReason_EnterNew_ButExist#0,"""다른 플레이어가 매칭을 시작했기 때문에 실행할 수 없습니다."""
MCancelReason_EnterExist_ButNotFound#0,"""매칭 접수 시간이 종료되었습니다."""
MCancelReason_HostChanged#0,"""호스트 플레이어가 매칭을 취소했습니다."""
MCancelReason_MemberExit#0,"""$(0)에서 이탈했습니다."""
MCancelReason_Exclusion#0,"""다른 필드 레이스에 참가 중"""
MNotice_HostChanged#0,"""$(0)님께서 호스트 플레이어가 되었습니다."""
MCourse_SAerio#0,"""남부 에아리오 주파（Stage.1)"""
MCourse_WAerio#0,"""서부 에아리오 주파（Stage.1)"""
MCourse_WRitem#0,"""서부 리템 주파（Stage.1)"""
MCourse_CKuvaris#0,"""중앙 크바리스 주파（Stage.1)"""
MCourse_SKuvaris#0,"""남부 크바리스 주파（Stage.1)"""
MCourse_CAerio#0,"""中央エアリオ板操（Stage.1）"""
MCourse_CRitem#0,"""中央リテム板操（Stage.1）"""
MRetryMenu_Guide#0,"""長押しで途中離脱"""
MRetryMenu_Guide_AfterPlaying#0,"""長押しでレーシングコンソール前に戻る"""
MRetryMenu_GuideTail#0,"""＊＊<br>リトライ長押しメニュー"""
MRetryMenu_GuideRemain#0,"""受付時間：残り $(0):$(1).$(2)"""
MRetryMenu_Title#0,"""フィールドレースからの途中離脱"""
MRetryMenu_Message#0,"""参加しているフィールドレースから離脱しますか？<br><br>途中で離脱すると<yellow>“自分だけ”<c>が<br>レーシングコンソール前に戻ります。"""
MRetryMenu_Title_AfterPlaying#0,"""レーシングコンソール前への移動"""
MRetryMenu_Message_AfterPlaying#0,"""$(0)の<br>レーシングコンソール前に戻りますか？"""
MRetryMenu_Yes#0,"""はい"""
MRetryMenu_No#0,"""いいえ"""
