TrialName_1Enemy#0,"""$(0) 토벌"""
TrialBeginMsg_1Enemy#0,"""출현한 $(0) 에너미를 쓰려뜨려라!"""
TrialAbstract_1Enemy#0,"""$(0) 쓰러뜨리기"""
TrialName_Multi#0,"""에너미 토벌"""
TrialBeginMsg_Multi#0,"""출현한 에너미를 쓰러뜨려라!"""
TrialAbstract_Multi#0,"""에너미를 쓰러뜨리기"""
GaugeCharge#0,"""M.A.R.S. 배터리가 일정량 충전되었습니다."""
NpcComOnForetaste#0,"""그 주변에 경계가 필요한 에너미가 있는 것 같습니다!<br>시급히 토벌을 부탁드립니다."""
NpcComOnSuccess#0,"""에너미 섬멸을 확인했습니다!<br>즉응해 주셔서 감사합니다."""
NpcComOnFailure#0,"""에너미가 철수했습니다.<br>…일단 위협은 지난 것 같네요."""
NpcComOnForetasteNGS2#0,"""/voice11_voice_navi001_trial_0001_002강력한 에너미의 출현을 확인!<br>이 근처에서는 좀처럼 볼 수 없는 개체입니다. 조심하세요!"""
NpcComOnSuccessNGS2#0,"""/voice11_voice_navi001_trial_0001_069 에너미 격파를 확인했습니다!<br>대응해 주셔서 감사합니다."""
NpcComOnFailureNGS2#0,"""/voice11_voice_navi001_trial_0001_073 에너미가 철수했습니다.<br>…더 깊이 추적하지 마시고, 다른 목표를 찾아보세요."""
NpcComOnForetaste_DryverusTrial#0,"""그 근처에 강력한 적이 있는 것 같습니다!<br>조속히 대응해 주시기 바랍니다."""
NpcComOnSuccess_DryverusTrial#0,"""적을 향한 대응,<br>감사합니다."""
NpcComOnForetasteNGS2#1,"""앗… 특수한 에너미의 출현을 확인했습니다.<br>정보 수집을 위해 토벌을 부탁드립니다."""
NpcComOnSuccessNGS2#1,"""역시 <%me> 씨예요.<br>토벌 수고 많으셨습니다."""
NpcComOnFailureNGS2#1,"""에너미의 철수를 확인했습니다….<br>신경 쓰지 말고 다음으로 넘어가세요!"""
