TrialName#0,"""존넬 파괴"""
TrialBeginMsg#0,"""전개된 다즐 팟을 모두 비활성화 하고 존넬을 파괴하라!"""
TrialAbstract#0,"""다즐 팟을 비활성화 하고 존넬을 파괴하기"""
BarrierDestroy#0,"""$(0)님께서 다즐 팟을 파괴했습니다."""
NpcComOnBegin#0,"""자동 요격기 출현 확인!"""
NpcComOnBegin2#0,"""\""존넬\"" 본체는 실드에 의해 보호받고 있습니다.<br>우선은 주위에 전개한 \""다즐 팟\""을 파괴해 주세요."""
NpcComOnSuccess#0,"""존넬 파괴 확인.<br>대응해 주셔서 감사합니다."""
NpcComOnSuccess2#0,"""존넬의 잔해에서 물자를 회수해 주세요."""
NpcComOnFailure#0,"""존넬이 철수…<br>다음 목표로 나아가 주세요."""
NpcComOnDestroyMachineFirst#0,"""주변 지형을 해석 중.<br>다즐 팟의 위치 정보를 전송합니다."""
NpcComOnDestroyMachineHalf#0,"""주변 지형 해석 완료.<br>모든 다즐 팟의 좌표를 전송합니다."""
NpcComOnDestroyMachineAll#0,"""모든 다즐 팟 파괴 확인.<br>존넬의 실드가 해제되었습니다."""
NpcComOnNMinutesPassed#0,"""주변 지형 해석 완료.<br>모든 다즐 팟의 좌표를 전송합니다."""
NpcComOnDestroyMachineLeader#0,"""컨트롤 팟 파괴 확인.<br>다즐 팟의 인식 저해 기능이 해제되었습니다."""
