TrialName_1Enemy#0,"""$(0) 토벌"""
TrialBeginMsg_1Enemy#0,"""출현한 $(0) 쓰러뜨리기!"""
TrialAbstract_1Enemy#0,"""$(0) 쓰러뜨리기"""
TrialAbstract_1Enemy_SM_PSE#0,"""$(0) 쓰러뜨리기<br><yellow>※사이드 미션 달성 시<br>다음 PSE 버스트 시 버스트 체인지 발생<c>"""
TrialName_Multi#0,"""에너미 토벌"""
TrialBeginMsg_Multi#0,"""출현한 에너미 쓰러뜨리기!"""
TrialAbstract_Multi#0,"""에너미 쓰러뜨리기"""
TrialAbstract_Multi_SM_PSE#0,"""에너미 쓰러뜨리기<br><yellow>※사이드 미션 달성 시<br>다음 PSE 버스트 시 버스트 체인지 발생<c>"""
NpcComOnBegin#0,"""…강력한 에너미가 또다시 출현!<br>서둘러 토벌해 주세요."""
NpcComOnSuccess#0,"""에너미 섬멸을 확인했습니다!<br>즉시 대응해 주셔서 감사합니다."""
NpcComOnFailure#0,"""에너미가 퇴각했습니다.<br>…일단 위협은 사라졌네요."""
