TrialName_1Enemy#0,"""기침의 $(0) 토벌"""
TrialBeginMsg_1Enemy#0,"""출현한 $(0)를 처치하라!"""
TrialAbstract_1Enemy#0,"""기침의 $(0) 처치하기"""
Growup_EnemyBuff_1#0,"""/atime5 이명「기침」이 부여된 적에게는 다음과 같은 효과가 부여됩니다<br>$(0)"""
Growup_EnemyBuff_2#0,"""/atime5 이명「기침」이 부여된 적에게는 다음과 같은 효과가 부여됩니다<br>$(0)<br>$(1)"""
Growup_EnemyBuff_3#0,"""/atime5 이명「기침」이 부여된 적에게는 다음과 같은 효과가 부여됩니다<br>$(0)<br>$(1)<br>$(2)"""
Growup_EnemyBuff_4#0,"""/atime5 이명「기침」이 부여된 적에게는 다음과 같은 효과가 부여됩니다<br>$(0)<br>$(1)<br>$(2)<br>$(3)"""
Growup_EnemyBuff_5#0,"""/atime5 이명「기침」이 부여된 적에게는 다음과 같은 효과가 부여됩니다<br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)"""
SuccessByLifePoint0#0,"""/atime5 트라이얼 종료<br>모든 LP를 소실!"""
SuccessByTimeOver#0,"""/atime5 트라이얼 종료<br>타임 오버!"""
SuccessByAnnihilation#0,"""\\보스 에너미 격파로 인해 트라이얼 종료"""
NpcComOnForetaste#0,"""＊＊予兆"""
NpcComOnSuccess#0,"""＊＊成功"""
NpcComOnFailure#0,"""＊＊失敗"""
