ShopMenuHeader1#0,"""버프명"""
ShopMenuHeader2#0,"""효과 시간"""
ShopMenuHeader3#0,"""필요 포인트"""
ShopMenu1#0,"""이동 속도 상승"""
ShopMenu2#0,"""PP 회복량 증가"""
ShopMenu3#0,"""포톤 블래스트 게이지 축적량 증가"""
ShopMenu4#0,"""M.A.R.S. 배터리 자연 회복량 증가"""
ShopMenu5#0,"""레어 드롭 배율 +25%"""
ShopMenu6#0,"""루이너스 공격 시 추가 대미지"""
ShopMenu7#0,"""얼터즈 공격 시 추가 대미지"""
ShopMenu8#0,"""돌즈 공격 시 추가 대미지"""
ShopMenu9#0,"""스타레스 공격 시 추가 대미지"""
ShopMenu10#0,"""모바일 캐논 ALR 사용"""
PointRepayment#0,"""일부 탐색 포인트가 반환되었습니다."""
NpcComOnPointLuckedUp#0,"""/voice11_voice_navi004_trial_0001_038 탐색 포인트가 쌓여 있는 것 같습니다.<br>필드에 있는 부스트 디바이스에서 능력 강화를 할 수 있습니다."""
