TrialName#0,"""헌트 랠리"""
TrialBeginMsg#0,"""제한 시간 안에 <pict bounty_target>헌트 목표를 최대한 많이 달성하라!"""
TrialAbstract#0,"""달성할 때마다 갱신되는 <pict bounty_target>헌트 목표를<br>제한 시간 안에 많이 달성하기"""
BountyFinishToast#0,"""헌트 목표 <yellow>$(0)<c> 클리어"""
BountyFinishToastPoint#0,"""획득 탐색 포인트: 1000"""
Bounty_HighStarless#0,"""＊＊하이 스타레스"""
Bounty_Dread#0,"""＊＊노련"""
Bounty_HighRank#0,"""메갈로틱스 토벌"""
Bounty_Formidable#0,"""＊＊절망"""
Bounty_Boost#0,"""＊＊인핸스드"""
Bounty_God#0,"""돌즈 토벌"""
Bounty_Alter#0,"""얼터즈 토벌"""
Bounty_Natural#0,"""＊＊포머즈"""
Bounty_Remnants#0,"""＊＊루이너스"""
Bounty_Starless#0,"""스타레스 토벌"""
Bounty_All#0,"""＊＊임의의 에너미"""
Bounty_Boss#0,"""＊＊강력한 에너미"""
Bounty_Zako#0,"""＊＊보스 이외의 에너미"""
Bounty_Kinoko#0,"""유적 버섯 수집"""
Bounty_Kabu#0,"""유적 순무 수집"""
Bounty_Kiichigo#0,"""유적 산딸기 수집"""
Bounty_Ninjin#0,"""유적 당근 수집"""
Bounty_Notify#0,"""<yellow>목표를 달성할 때마다 탐색 포인트 획득!<c>"""
NpcComOnBegin#0,"""/voice11_voice_navi002_trial_0001_015 조사 요청입니다. 지정된 에너미 토벌이나<br>오브젝트 수집에 협력해 주세요."""
NpcComOnSuccess#0,"""/voice11_voice_navi002_trial_0001_068 협력해 주셔서 감사합니다.<br>계속해서 조사를 부탁드립니다."""
NpcComOnFailure#0,"""＊＊(실패)"""
