TrialName_1Enemy#0,"""$(0) 토벌"""
TrialBeginMsg_1Enemy#0,"""출현한 $(0)를 처치하라!"""
TrialAbstract_1Enemy#0,"""$(0) 처치하기"""
TrialName_Multi#0,"""에너미 토벌"""
TrialBeginMsg_Multi#0,"""출현한 에너미를 토벌하라!"""
TrialAbstract_Multi#0,"""에너미 처치하기"""
NpcComGod2ManonAndAina02#0,"""/voicessc_012040_0020 아무래도 서로 다른 합류지점에 있는 것 같아."""
NpcComGod2ManonAndAina01#0,"""/voicessc_012040_0010 넌 지금 어디쯤이야?"""
NpcComGod2ManonAndAina03#0,"""/voicessc_012040_0030 지금 이쪽 좌표를 보낼테니까 합류하자…"""
NpcComGod2RanBossAppear01#0,"""/voicessc_012040_0040 공간상에 고에너지 반응. 강력한 에너미가 옵니다!"""
NpcComGod2RanBossAppear02#0,"""/voicessc_012040_0050 ……다크 펄스 출현 확인."""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ……수……,입니까?!?\u3000……라면 답장……세요!\u3000……가……인가……를!"""
NpcComGod2RanLaterHalf01#0,"""/voicessc_012060_0010 통신 복구됐습니다!<br>바이탈 확인. 그쪽의 모습도 모니터링 할 수 있습니다."""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 이건… 출현했을 때 보다 다크 펄스가 약해지고 있습니다!<br>공격을 계속하세요!"""
NpcComGod2RanBrokenAllParts01#0,"""/voicessc_012060_0070 다크 펄스 추가로 약화. 할 수 있어요!"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 센트럴 캐논 발사 준비! 최종 단계로 이행.<br>얼마 안남았습니다. 힘내세요!"""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 캐논이 발사되기 까지는 좀 더 시간이 걸려.<br>다들 도망 못가게 붙잡고 있어줘…"""
