name01#0,"""Afin"""
name02#0,"""Aurora"""
name03#0,"""Yucreta"""
skit01#0,"""/toge /ci3 2 Crap! Here too...!<br>It's like they really don't want us to go further!"""
skit02#0,"""No probrably not. I feel something else calling out there."""
skit03#0,"""Perhaps these things see us as invaders of some kind."""
skit04#0,"""/ci1 2 If we want to advance, we need to defeat these things."""
skit01#1,"""Crap! Here too...!<br>It's like they really don't want us to go further!"""
skit02#1,"""No probrably not. I feel something else calling out there."""
skit03#1,"""Perhaps these things see us as invaders of some kind."""
skit04#1,"""If we want to advance, we need to defeat these things."""
