ra_039030_0001#0,"""A.P.239/5/1"""
ra_039030_0010#0,"""La Original Apprentice...<br>Esta chica, Aurora, apareció del interior de Yucreta."""
ra_039030_0020#0,"""Es muy difícil de creer, pero lo has visto."""
ra_039030_0030#0,"""Teniendo en cuenta cuando tantas cosas que eran imposible llegan a ser posible, cualquier cosa en estos días no es demasiado descabellado."""
ra_039030_0040#0,"""El enlace entre Yucreta con está chica, no es algo que podamos...."""
ra_039030_0050#0,"""Hmm.<br>esta persona seguro sabe lo que está sucediendo."""
ra_039030_0060#0,"""Estás inusualmente a gusto con este repentino cambio de los acontecimientos, Xiao. ¿Esto no nos da un problema mas?"""
ra_039030_0070#0,"""No creo que esto sea un problema serio.<br>Tal vez podríamos obtener alguna información de ella."""
ra_039030_0080#0,"""<%me>.<br>Ella dijo que era la Original Apprentice, ¿Verdad?"""
ra_039030_0090#0,"""Eso significaría que ella tiene conocimiento sobre los Photoners y de 【Profound Darkness】."""
ra_039030_0100#0,"""Aha, ¡Ya veo!<br>Si pudiéramos obtener información sobre 【Profound Darkness】, podríamos encontrar una manera de derrotarlo para siempre!"""
ra_039030_0110#0,"""No te hagas ilusiones. Los Photoners sólo pudieron sellarlo. Sin embargo, estoy seguro de que tendrá información útil sin importar."""
ra_039030_0120#0,"""Pero, teniendo a Afin el trabajo de reunir información, no me llena exactamente de esperanza."""
ra_039030_0130#0,"""Sí... se asusta demasiado y se pone nervioso en situaciones críticas."""
ra_039030_0140#0,"""Te deseamos buena suerte, <%me>!"""
ra_039030_0150#0,"""Esta bien. Tienes esto, pero fácil fácil!"""
