name01#0,"""????"""
name02#0,"""????"""
un_032070_0010#0,"""<%me>, Hola!"""
un_032070_0020#0,"""Ahora Ulc está en medio de una reunión del comité."""
un_032070_0030#0,"""Ella debe regresar en cualquier momento... aunque, no me sorprendería si ella toma un desvío en el camino."""
un_032070_0040#0,"""Ella ha encontrado su verdadera vocación en este trabajo, ves."""
un_032070_0050#0,"""Huh? ¿Escuché mi nombre? Lo siento, no puedo hablar. Tengo otra cita, y tengo que ordenar estos datos antes de eso!"""
un_032070_0060#0,"""...¿El informe de operaciones del equipo médico? Lo anticipé y lo terminé ya."""
un_032070_0070#0,"""Ooh! ¡Gran pensamiento, Theo!"""
un_032070_0080#0,"""La salud y el bienestar de todos los miembros de ARKS está en sus manos, por lo que es crítico que los sigamos!"""
un_032070_0090#0,"""Estoy feliz de que estés trabajando tan duro para todos a bordo, pero ¿qué pasa si te quemas?"""
un_032070_0100#0,"""Huh? ...¿Quemarme? ¿Parezco tan agotado para los dos?"""
un_032070_0110#0,"""1. De ningún modo."""
un_032070_0120#0,"""2. Estoy un poco preocupado..."""
un_032070_0130#0,"""...En realidad, me siento de la misma manera."""
un_032070_0140#0,"""...Bueno uh, creo que te ves bien."""
un_032070_0150#0,"""Entonces no hay nada de qué preocuparse, ¿verdad?"""
un_032070_0160#0,"""Claro, podría ir al agua de vez en cuando, pero si Theo dice que estoy bien, entonces todo estará bien."""
un_032070_0170#0,"""Si llega el momento de que ambos digan \""Eso es suficiente!\"" Entonces prometo descansar. Hasta entonces, me gustaría seguir adelante."""
un_032070_0180#0,"""Depende de los dos de mantener un ojo hacia fuera para mí, esta bien?"""
