ra_039060_0001#0,"""A.P.239/5/8"""
ra_039060_0010#0,"""Hmm, Los deseos y la malevolencia de la gente. No hay límites allí, no podemos oponernos a eso."""
ra_039060_0020#0,"""Yo mismo tengo deseos, más o menos."""
ra_039060_0030#0,"""Con el paso del tiempo, los acontecimientos que han pasado en el pasado serán olvidados."""
ra_039060_0040#0,"""La forma en que los Photoners se dirigieron, no podemos negar que los ARKS pueden dirigirse en esa dirección también."""
ra_039060_0050#0,"""Entonces,<br>¿Qué querías hacer?<br>¿Parar la transición de la gerencia?"""
ra_039060_0060#0,"""Lo que Aurora sugirió es sólo una posibilidad, no un resultado definitivo."""
ra_039060_0070#0,"""Cuando ella era un Photoner, ella fue expuesta a un mundo feo durante mucho tiempo. No puede ver las posibilidades en las personas."""
ra_039060_0080#0,"""Desde que me puse en contacto con ustedes y Sara, he vivido muchas situaciones. Y me permiten ver las posibilidades en otros."""
ra_039060_0090#0,"""Vimos el rescate de Matoi contra 【Profound Darkness】 después de todo"""
ra_039060_0100#0,"""No sé qué pasará, porque el futuro es impredecible."""
ra_039060_0110#0,"""Xion lo dijo y estoy de acuerdo."""
ra_039060_0120#0,"""Entonces, ¿Qué podemos hacer, sino proceder como somos?"""
ra_039060_0130#0,"""Ya si es correcto o incorrecto, sólo el futuro lo dirá."""
ra_039060_0140#0,"""Será el futuro que Xion no podría predecir."""
ra_039060_0150#0,"""Bueno entonces, supongo que mejor trabajo más duro entonces."""
ra_039060_0160#0,"""Para evitar repetir los errores de los Photoner, tengo que estudiar mucho.<br>Ustedes dos también."""
ra_039060_0170#0,"""Por cierto <%me>..."""
ra_039060_0180#0,"""No has notado nada extraño respecto a Aurora, mientras estabas en Lillipa, ¿Verdad?"""
ra_039060_0190#0,"""Desde la aparición de 【Profound Darkness】, las lecturas de photon se han disparado."""
ra_039060_0200#0,"""A partir de ahora, no hay manera de saber lo que está sucediendo, sin embargo..."""
ra_039060_0210#0,"""Esto podría ser una señal de futuras cosas por venir. Hasta entonces, te pregunto si puedes vigilarlos."""
