ra_039040_0001#0,"""A.P.239/5/4"""
ra_039040_0010#0,"""Oh, eres tu. Has venido de nuevo, me alegro."""
ra_039040_0020#0,"""Yu-chan y el chico gruñón me aburren continuamente."""
ra_039040_0030#0,"""Y este planeta me aburre también. Todo lo que puedo ver es sólo<br>arena, arena y arena... Un planeta desolado."""
ra_039040_0040#0,"""Lillipa, ¿Verdad? Hmm? Qué planeta! Me pregunto.<br>¿Tenemos el control de este lugar?"""
ra_039040_0050#0,"""Suficiente, por favor, 【Apprentice】. Anteriormente has dicho que 【Profound Darkness】 apareció \""nuevamente\""."""
ra_039040_0060#0,"""No es Apprentice, es Aurora. No vuelvas a cometer ese error, Yu-chan."""
ra_039040_0070#0,"""Y es exactamente lo que he dicho. ¿Sabes que la 【Profound Darkness】, nació cuando los Photoners estaban vivos?"""
ra_039040_0080#0,"""Bueno,  【Profound Darkness】 fue creada por nosotros, los Photoners. Fue una locura cuando nació."""
ra_039040_0090#0,"""Fue inesperado cuando nació. Pero nos juntamos con contramedidas y logramos sellarlo."""
ra_039040_0100#0,"""Tal sello es una locura. ¿Cómo la sellaste?"""
ra_039040_0110#0,"""¿Hmm? Es... Está es una historia que he oído."""
ra_039040_0120#0,"""【Profound Darkness】 ve todas las existencias que usan los Photons como su enemigo. Intentará perseguirlos y eliminarlos."""
ra_039040_0130#0,"""Así que combinaron todos sus photons en un solo individuo como cebo y sellaron a 【Profound Darkness】 junto al individuo."""
ra_039040_0140#0,"""Todo en una sola persona, y se sellan... ¿De verdad?"""
ra_039040_0150#0,"""Yo no estaba muy interesada en los detalles, pero lo he oído de un almirante que conocí. Así que no tengo ninguna duda de que es verdad."""
ra_039040_0160#0,"""Estás enferma."""
ra_039040_0170#0,"""Enferma?<br>¿Cómo es eso?<br>No fue la mejor opción, pero al sacrificar a una persona, hemos salvado muchas."""
ra_039040_0180#0,"""¿Toda una estudiante de honor, Hmm Yu-Chan? Ex【Apprentice】."""
ra_039040_0190#0,"""Estudiante de honor... Quizás.<br>Pero cuando yo era 【Apprentice】, no habría pensado en eso."""
ra_039040_0200#0,"""Pero incluso ahora, siento el resentimiento."""
ra_039040_0210#0,"""No era sólo el recuerdo... Pero mi corazón, lo ha alterado."""
ra_039040_0220#0,"""....."""
ra_039040_0230#0,"""Bueno, lo hemos sellado.<br>Dark Falz se puso furioso después. No podríamos reclamar la victoria sobre eso."""
ra_039040_0240#0,"""Absolutamente."""
ra_039040_0250#0,"""Estoy cansada de está área. Pasemos a la siguiente área."""
