name01#0,"""????"""
name02#0,"""????"""
ra_032040_0001#0,"""A.P.239/1/28"""
ra_032040_0010#0,"""Clarissa estaba temporalmente vinculada, hace diez años...? Así que estás diciendo eso, Sara era..."""
ra_032040_0020#0,"""Pero... No había tal memoria dentro de Sara."""
ra_032040_0030#0,"""Por supuesto que no. He olvidado de todos ellos."""
ra_032040_0040#0,"""¡Sara!"""
ra_032040_0050#0,"""Comencé a recordarme hace medio año, cuando conocí por primera vez a Onee-sama quiero decir, Matoi."""
ra_032040_0060#0,"""A partir de entonces, algunos recuerdos han estado volviendo a mí. Pero sólo he recordado un poco de eso."""
ra_032040_0070#0,"""Hace diez años, tomé prestada Clarissa de Claris Claes y le confié a usted. Todo después es muy borroso."""
ra_032040_0080#0,"""Lo siguiente que sé, es que fuy rescatada por María y Xiao. Ni siquiera recuerdo dónde me rescataron."""
ra_032040_0090#0,"""Bueno, debe ser algo realmente terrible, para olvidarlo."""
ra_032040_0100#0,"""Mi cabello se volvió gris, y ni siquiera puedo usar técnicas."""
ra_032040_0110#0,"""Aún así, yo soy el que soy ahora, porque de lo que sucedió despues."""
ra_032040_0120#0,"""He obtenido el poder para luchar, y tengo amigos que me apoyan también. Por eso no me arrepiento. No te hagas la idea equivocada, ¿de acuerdo?"""
ra_032040_0130#0,"""Especialmente tú, Xiao. Estamos unidos, así que puedo decir lo que estás pensando."""
ra_032040_0140#0,"""Nunca te disculpes ni sientas lástima por mí. ¡Si lo haces, te pegaré!"""
ra_032040_0150#0,"""Yo, yo. Como maestro, como alumno de hecho."""
