ra_039010_0001#0,"""A.P.239/5/1"""
ra_039010_0010#0,"""Hey,<%me>.<br>Llegaste en el momento adecuado."""
ra_039010_0020#0,"""……Ugh, mi cabeza me está matando."""
ra_039010_0030#0,"""No necesitas trabajar en eso ahora mismo. Y no te preocupes, te prepararé todo lo que necesites."""
ra_039010_0040#0,"""No creo que pueda concentrarme con toda la información. Pero vamos a continuar con esto de todos modos, no quiero dejar a nadie abajo!"""
ra_039010_0050#0,"""No va a ser bueno si está tratando de procesar esta información sin tomar un descanso."""
ra_039010_0060#0,"""He querido hablar con <%me> de todos modos."""
ra_039010_0070#0,"""¿Hablar acerca de qué?"""
ra_039010_0080#0,"""Bueno, lo mismo que te he estado diciendo, y quería explicarle a <%me> sobre la situación actual."""
ra_039010_0090#0,"""<%me>, Quería devolver el control de la administración de ARKS."""
ra_039010_0100#0,"""Seguiré realizando cálculos y previsiones, pero las actividades generales de ARKS - quiero que Ulc y el Consejo de los Seis se ocupen de eso."""
ra_039010_0110#0,"""No queremos repetir la historia. Y quiero que ARKS pueda funcionar sin mi ayuda."""
ra_039010_0120#0,"""Y eso me permitiría calcular una manera de derrotar a [Profound Darkness] para siempre."""
ra_039010_0130#0,"""Para ser honesto, no sé si es posible. Pero no intentarlo es peor que no intentarlo. No quiero que nadie se sacrifice de nuevo."""
ra_039010_0140#0,"""[Profound Darkness] está actualmente sellada gracias a ti... bueno, específicamente [Persona]."""
ra_039010_0150#0,"""Cuando interfiere con la resurrección de [Profound Darkness], lentamente la drena de su poder."""
ra_039010_0160#0,"""Cuando [Profound Darkness] se debilita, [Persona] despierta y logra iniciar una inversión temporal."""
ra_039010_0170#0,"""Sin embargo, eso sí tiene sus límites. Cuando [Profound Darkness] regresa en el tiempo, regresa al punto antes de resucitar."""
ra_039010_0180#0,"""Esto nos ha permitido mantener a [Profound Darkness] sellado momentáneamente."""
ra_039010_0190#0,"""Pero eso significa que, [Persona]..."""
ra_039010_0200#0,"""Correcto. [Persona] Es atrapado en un bucle, y no sé por cuánto tiempo también."""
ra_039010_0210#0,"""Es por eso que quiero encontrar una manera de evitar que esto suceda en el futuro."""
ra_039010_0220#0,"""Aunque, tengo esta sensación que va a ser un proceso áspero."""
ra_039010_0230#0,"""Ah, hey, ¡eso es serio!"""
ra_039010_0240#0,"""¿Afin?"""
ra_039010_0243#0,"""1. ¿Que esta pasando?"""
ra_039010_0246#0,"""2. Cálmate Afin"""
ra_039010_0250#0,"""Oh, está aqui también compañero?<br>¿Cómo debo explicar...?"""
ra_039010_0260#0,"""Uh, vamos a ver... ¿Acaba de salir de Yuki-nee? No, de alguna parte? Salió No, nacio de ella"""
ra_039010_0270#0,"""Ahhh, No sé ni siquiera explicar esto!"""
ra_039010_0280#0,"""¡Sólo ven aquí! ¡Lo entenderás cuando lo veas! ¿Cuento con tigo? ¿Compañero?"""
ra_039010_0290#0,"""Se sentia como una sensación de caos, digo."""
ra_039010_0300#0,"""Los signos vitales de Afines parecen estar bien, pero la forma en que estaba hablando... Era muy extraña."""
ra_039010_0310#0,"""Un nuevo futuro nacido, delante de nuestros ojos. Nadie podría haber visto nada de esto."""
ra_039010_0320#0,"""Este será el último Matterboard que recibirás de mi."""
ra_039010_0330#0,"""Tengo algunas ideas para ayudarte a ver las posibilidades, pero eso puede esperar."""
ra_039010_0340#0,"""Estamos contando siempre contigo, <%me>."""
text01#0,"""<br>Recibes Matterboard \""Brillante\"".<br>"""
