name01#0,"""????"""
name02#0,"""????"""
ra_032060_0001#0,"""A.P.239/1/30"""
ra_032060_0010#0,"""<%me>! ¡Usted está aquí en el momento adecuado!"""
ra_032060_0020#0,"""¡Es tiempo de consulta con Huey del Consejo de los Seis!"""
ra_032060_0030#0,"""Quiero deshacerme de la atmósfera incómoda entre Claris Claes y Sara!"""
ra_032060_0040#0,"""¿Qué relación tiene el dúo? ¡Eso no lo sé! ¡No quiero saberlo! Y para ser sincero, no estoy interesado!"""
ra_032060_0050#0,"""¡Sin embargo, no debemos dejar el statu quo como es! Nadie seguirá en este estancamiento!"""
ra_032060_0060#0,"""Así que, <%me>, prestame una mano!"""
ra_032060_0070#0,"""1. ¿Que quieres que haga?"""
ra_032060_0080#0,"""2. Podemos empeorar la situación"""
ra_032060_0090#0,"""Lo peor que puede pasar es que van a empezar a ignorarse unos a otros!"""
ra_032060_0100#0,"""Por lo tanto, mientras todavía se reconocen unos a otros, tendremos que reunirlos, incluso por la fuerza!"""
ra_032060_0110#0,"""El peor de los casos, se odiarian, ¡eso está bien! ¡Eso es mejor que ignorarse el uno al otro, por lo menos!"""
ra_032060_0120#0,"""Ambos ignorando y no cuidando el uno al otro, definitivamente no dejo que eso suceda!"""
ra_032060_0130#0,"""En el peor de los casos, incluso eso está bien. Al menos como se odian, se están reconociendo mutuamente."""
ra_032060_0140#0,"""Sin embargo, no deben ignorarse! ¡Si lo hacen, incluso voy a llorar!"""
ra_032060_0150#0,"""Pero, dada la personalidad de Sara, ella definitivamente dirá que Claris Claes no tiene nada que ver con ella."""
ra_032060_0160#0,"""Aún así, ¡quiero hacer todo lo que esté a mi alcance para ayudarlos a llevarse bien! Usted entiende, ¿no?"""
ra_032060_0170#0,"""Pues bien, la Operación Conciliación Forzada a comenzado!"""
ra_032060_0180#0,"""¡Me ocuparé de los preparativos, espera que me ponga en contacto! Fuhahaha!"""
