ra_039050_0001#0,"""A.P.239/5/6"""
ra_039050_0010#0,"""Hey, Compañero, has llegado.<br>Es la costumbre, aún estamos siendo arrastrado."""
ra_039050_0020#0,"""Pero no es tan malo."""
ra_039050_0030#0,"""Yuki-nee es simplemente tímida para hablar a los demás, especialmente por lo que pasó."""
ra_039050_0040#0,"""Pero creo que es terapéutico que hable con alguien más que no sea yo."""
ra_039050_0050#0,"""Bueno, eso es por supuesto, si dejan de pelear lo suficiente para hablar..."""
ra_039050_0060#0,"""No he tenido la oportunidad de volver a la nave ARKS. ¿Cómo están las cosas arriba?"""
ra_039050_0070#0,"""He oído hablar de Io y Fourier. Habrá cambios en la gestión de la nave o algo así. ¿No necesitan ayuda con eso?"""
ra_039050_0080#0,"""Recuerdo hablando de lo mismo, de cambiar el sistema de gestión, en nuestro tiempo."""
ra_039050_0090#0,"""Hablando de la experiencia. No te molestes es mejor dejar de fumar ahora, que eventualmente algo sucederá en el futuro."""
ra_039050_0100#0,"""Por cierto. De alguna manera hueles a Xion."""
ra_039050_0110#0,"""¿Cómo está Xion?, ¿Lo está haciendo bien?"""
ra_039050_0113#0,"""1. Xion ya no existe"""
ra_039050_0116#0,"""2. Xiao ha tomado su lugar"""
ra_039050_0120#0,"""Oh, Xion ya no está allí?, ¿Se ha ido?"""
ra_039050_0130#0,"""¿Hay un niño parecido a una copia?<br>Pero no es Xion. Es eso así..."""
ra_039050_0140#0,"""Xiao?<br>¿Quién es ese?<br>¿Eso significa que la copia de Xion existe?<br>¿A dónde fue Xion?"""
ra_039050_0150#0,"""Ya veo... Xion ha fallecido. Ya veo..."""
ra_039050_0160#0,"""Incluso si la copia existe, no es Xion.<br>Xion se ha ido..."""
ra_039050_0170#0,"""Oh, Me acordé de algo. También hemos tratado de copiar a Xion."""
ra_039050_0180#0,"""Y fracasamos, cada vez."""
ra_039050_0190#0,"""Esta fue la historia del final de los Photoners."""
ra_039050_0200#0,"""Los Photoners se extendieron por todo el universo. Para manejar el vasto universo de nuestra civilización tratamos de hacer una copia de Xion."""
ra_039050_0210#0,"""El primero fue un éxito. Sin embargo, fracasamos en que no podía ser controlado en absoluto, por lo que lo tiramos en el subespacio."""
ra_039050_0220#0,"""No sé si era subespacio u otra dimensión enteramente, sino tratarla como si fuera basura... No puedes tratar a los demás como a ti por favor."""
ra_039050_0230#0,"""Está bien. Y yo también lo creo."""
ra_039050_0240#0,"""Fue un castigo, seguramente."""
ra_039050_0250#0,"""Fracaso tras fallo. Finalmente creamos otro éxito, algo que pudimos controlar."""
ra_039050_0260#0,"""Los deseos egoístas que nosotros, Photoners, teníamos en ese momento nuestros deseos y pensamientos, lo influyeron..."""
ra_039050_0270#0,"""...Y se convirtió en 【Profound Darkness】."""
ra_039050_0280#0,"""Y así, por eso. Los deseos maliciosos de otros, supongo que es parte de la naturaleza humana."""
ra_039050_0290#0,"""¿Por qué... Como sabes eso?, ¿Estabas aparte de esto?"""
ra_039050_0300#0,"""Aparte de eso Hah, no puedo decir que lo fuera. No me interesaba eso."""
ra_039050_0310#0,"""Sólo había una cosa en mi mente en ese momento. Queria pulir mi belleza."""
ra_039050_0320#0,"""Capturé todos los corazones del universo. La mujer más hermosa de todos los Photoners. Me decian la Diosa de la Belleza misma."""
ra_039050_0330#0,"""Incluso el personal militar y los políticos. Si fueras un hombre, debías verte cerca de mí."""
ra_039050_0340#0,"""Incluso con sus quejas, todavía se jactó sus secretos a mí en la noche."""
ra_039050_0350#0,"""Realmente he oído todo tipo de cosas. Cosas que quería oír, y cosas que no. A veces desearía poder olvidar."""
ra_039050_0360#0,"""Quería cerrar mis oídos. He oído historias de luchas por el poder, y malas intenciones hacia otros."""
ra_039050_0370#0,"""Quería derrotar a este tipo de personas. Realmente no me gusta está fealdad... Es cierto."""
ra_039050_0380#0,"""Sin embargo, estaba lo suficientemente desesperada para derrotar a todas las chicas que se convertirían en mis rivales."""
