name01#0,""" Afin """
name02#0,""" Yucreta """
name03#0,""" Aurora """
skit01#0,"""/toge /ci3 1 ¡Lo sabía! ¡Esperaba algo como esto!"""
skit02#0,"""/toge /ci3 2 Si no quieres morir, pelea mas, y quejate menos, Afin!"""
skit03#0,"""Yu-chan, sólo porque es tu hermano, no significa que no debas mostrar misericordia con Afin. ¿Es así como muestras tu amor?"""
skit04#0,"""/toge /ci3 1 ¡Cállate! Aurora!"""
skit01#1,"""¡Lo sabía! ¡Esperaba algo como esto!"""
skit02#1,"""Si no quieres morir, pelea mas, y quejate menos, Afin!"""
skit03#1,"""Yu-chan, sólo porque es tu hermano, no significa que no debas mostrar misericordia con Afin. ¿Es así como muestras tu amor?"""
skit04#1,"""¡Cállate! Aurora!"""
