st_061100_0001#0,"""A.P.242/2/17/11:00"""
st_061100_0010#0,"""하아……하아……<br>뭐야, 이 적은<br>평소와 전혀 달라……!"""
st_061100_0020#0,"""공격이 잘 안 통해"""
st_061100_0030#0,"""내구도가 비정상적으로 높아"""
st_061100_0040#0,"""응, 게다가……<br>왠지 이전의 시바라는 사람과<br>똑같은 반응이 있어."""
st_061100_0050#0,"""이쪽의 공격이 통하기가 어렵다고 해야 할지<br>흡수하는듯한 느낌이……"""
st_061100_0060#0,"""<%me>！"""
st_061100_0070#0,"""마리아 씨! 위험해!"""
st_061100_0080#0,"""……아아, 너희들인가<br>덕분에 살았어."""
st_061100_0090#0,"""다른 사람들은요...?"""
st_061100_0100#0,"""나도 찾고 있는 중이야.<br>뭐, 처음 만난 게<br>너희라서 다행이야."""
st_061100_0110#0,"""너희들이 제일 포인트가 높거든."""
st_061100_0120#0,"""어라?"""
st_061100_0130#0,"""물러서!"""
st_061100_0140#0,"""칫!"""
st_061100_0150#0,"""……둘 다 속지 마!<br>저건 누님이 아니야!"""
st_061100_0160#0,"""제노 씨!?<br>그 상처는……!"""
st_061100_0170#0,"""호오.<br>나의 일격을 맞고 살아있다니<br>끈질김 하나는 인정해줘야겠구나."""
st_061100_0180#0,"""진짜의 일격은 그런 게 아니야.<br>그다지 닮지 않은 흉내<br>적당히 하라고, 이 가짜야!"""
st_061100_0190#0,"""후……"""
st_061100_0200#0,"""닮지 않았다니 의외.<br>나의 모방은, 완벽."""
st_061100_0210#0,"""당신은……!"""
st_061100_0220#0,"""시바와 함께 있었던……！"""
st_061100_0230#0,"""다른 사람을 의태하는 능력……！？"""
st_061100_0240#0,"""나는 미트라.<br>20번째 좌, 모방의 여신<br>모방하기 위해서, 나는 존재해."""
st_061100_0250#0,"""나와도 만났었다."""
st_061100_0260#0,"""나와도 조금 전에 만났었지."""
st_061100_0270#0,"""의심은 사람을 죽여.<br>사람이 사람을 의심하는 모습은<br>너무나 우스워."""
st_061100_0280#0,"""이제부터 당신들은<br>항상 의심하지 않으면 안돼.<br>자신들의 동료가 진짜일지 아닐지를 말이야."""
st_061100_0290#0,"""나는 그것을 언제나 봐 왔어.<br>그리고 그것은 이제부터, 여기서도."""
st_061100_0300#0,"""모방의 여신은 그렇게 사람을 죽여."""
st_061100_0310#0,"""핫, 친절하게 설명해줘서 고맙기 그지없네!<br>그렇다면 여기서 원흉이 되는 네녀석을<br>끝장낸다면 해결되는 일이다!"""
st_061100_0320#0,"""당신들은 포인트가 높아.<br>여기서 얻으면, 나의 승리."""
st_061100_0330#0,"""포인트라니……"""
st_061100_0340#0,"""누가 제일 먼저 당신들을<br>죽일 수 있을지에 대한 승부.<br>지금은 내가 지고 있으니까, 여기서 만회."""
st_061100_0350#0,"""……웃기지 마!<br>우리들은 네놈의 장난감 아니야!"""
st_061100_0360#0,"""어째서 화난 거야?<br>너희들도 다커에게 같은 짓을 하고 있어."""
st_061100_0370#0,"""본인들이 사냥감이 되는 기분이 어때?<br>그걸 인과응보라고 하는 거야."""
st_061100_0380#0,"""그 기분은... 혹시<br>당신이 되면은 알 수 있을까?"""
