un_012580_0005#0,"""【隠されていた理由は】<br>仮テキスト"""
un_012580_0010#0,"""Hey, camarada! Es bueno ver que te va bien."""
un_012580_0020#0,"""La batalla anterior fue implacable. Deberíamos estar contentos de haberlo hecho bien."""
un_012580_0030#0,"""Pero hay algo más que me preocupa. ¿Me darías un momento?"""
un_012580_0040#0,"""¿Por qué Dark Falz aparecio de Naberius?"""
un_012580_0050#0,"""Además, se llamaba Elder. Ese es el nombre del Falz que fue derrotado hace 40 años."""
un_012580_0060#0,"""¿Por qué revivió? ¿Qué pasó exactamente?"""
un_012580_0070#0,"""estaba fragmentado y hay más rumores que hay información oculta en Naberius."""
un_012580_0080#0,"""Todo esto está poniendo a prueba mi paciencia. ¿Me pregunto si hay algo que están tratando de esconder?"""
un_012580_0090#0,"""Lo siento, no quiero sospechar, pero teniendo en cuenta las circunstancias, esto es exrtraño."""
un_012580_0100#0,"""Voy a volver a mi misión. Vamos a tener cuidado."""
