st_012030_0005#0,"""AP 238/4/15 11:00"""
st_012030_0010#0,"""Quna e gustaría preguntarle algo."""
st_012030_0020#0,"""El hecho de que estás junto a <%me> significa que le has explicado la situación, ¿verdad?"""
st_012030_0030#0,"""Si surge un problema,<br>Voy a tratar con ello."""
st_012030_0040#0,"""Eso no es lo que quería decir.<br>Y su definición de \""tratar,\""<br>mediante el \""Asesinato\"", eso no es una opción."""
st_012030_0050#0,"""Entonces, suponiendo que sabes lo básico, deja que te diga lo que sé."""
st_012030_0060#0,"""Puesto que usted está involucrado, usted tiene derecho a saber."""
st_012030_0070#0,"""¿De qué estás hablando?"""
st_012030_0080#0,"""Una investigación que llevé a cabo por mi cuenta, en un determinado centro de investigación."""
st_012030_0090#0,"""Se refiere a un determinado sujeto de prueba, o mejor dicho, un cierto dragón. ¿Tengo su atención ahora?"""
st_012030_0100#0,"""!?"""
st_012030_0110#0,"""Voy a empezar a partir de los resultados que descubri. He encontrado evidencia de experimentos extremadamente inhumanas."""
st_012030_0120#0,"""Parece que estaban llevando a cabo experimentos con cierto dragón, pero no pudieron estabilizarlo. El resultado fue un caos."""
st_012030_0125#0,"""Devolvieron su atención a la experimentación en seres humanos, que de por sí es bastante graves."""
st_012030_0127#0,"""Como los experimentos en seres humanos y dragones, continuaron a ser aún menos humano."""
st_012030_0130#0,"""Los detalles del experimento se perdieron, pero creo que el esquema proporciona suficiente información."""
st_012030_0135#0,"""Pero parecía que el experimento fue un fracaso. Los Dragones se volvieron locos, y los seres humanos no pueden exceder sus límites."""
st_012030_0137#0,"""Sin embargo, un incidente ocurrió."""
st_012030_0140#0,"""Un experimento que se suponía iba a ser llevado a cabo en un ser humano se llevó a cabo en un dragón, Hadred."""
st_012030_0150#0,"""Los resultados del experimento fueron que su poder estaba cerrada con llave, tras lo cual, se volvió loco y destruyó la instalación."""
st_012030_0160#0,"""¿Se suponía que iba a ser llevado a cabo en las personas?"""
st_012030_0170#0,"""En cuanto a por qué se produjo el incidente, todavía no ha sido capaz de darse cuenta de eso."""
st_012030_0180#0,"""¿Es el error de alguien en el departamento de investigación, o algo que ver con el propio sujeto de prueba?"""
st_012030_0190#0,"""Casra, ¿cómo sabes tanto?"""
st_012030_0200#0,"""Es debido a mi estado en el Consejo de los Seis."""
st_012030_0210#0,"""Para alguien con autoridad sobre los demás, también es mi responsabilidad para investigar incidentes de este tipo."""
st_012030_0220#0,"""Vamos. Tenemos que ponerle fin a esto."""
st_012030_0230#0,"""A.P.238/4/15/11:00"""
