un_012500_0010#0,"""Maestro <%me>, ¿Tienes algún asunto conmigo?"""
un_012500_0020#0,"""¿Qué estaba haciendo? Como puede ver, estaba cumpliendo mi misión. ¿Tiene algún problema con eso?"""
un_012500_0030#0,"""No te esfuerces"""
un_012500_0040#0,"""¿Tu cuerpo ya está curado?"""
un_012500_0050#0,"""No estoy exagerando. Mis lesiones sanaron más rápido de lo esperado. En realidad me siento mejor que antes."""
un_012500_0060#0,"""Parece extraño, pero mi cuerpo se está recuperando rápidamente. Casi como si estuviera mejor que antes."""
un_012500_0070#0,"""Pero más importante aún, ya que estoy por mi cuenta ahora, tengo que ser lo suficientemente fuerte como para seguir adelante por mí misma."""
un_012500_0080#0,"""Si yo acabara de hacer eso para empezar, entonces no habría pasado por la angustia de perder a alguien."""
un_012500_0090#0,"""Es sólo una vez que pierdes algo que te das cuenta de lo que tenías. Supongo que eso es lo que se conoce como \""Retrospectiva\"""""
un_012500_0100#0,"""Te sugiero que te alejes de mí por tu propio bien."""
un_012500_0110#0,"""Lo llevaré un paso más allá."""
un_012500_0120#0,"""Usted sólo debe mantenerse lo más lejos posible de mí."""
un_012500_0130#0,"""De lo contrario, morirás."""
