un_012155_0010#0,"""Hola, <%me>. Parece que hay algo que me quieres preguntar."""
un_012155_0020#0,"""¿Crees que es inusual para mí ser tan habladora en mi línea de trabajo?"""
un_012155_0030#0,"""Tienes razón, es impropio para alguien que actúa en las sombras. Soy terrible para guardar secretos."""
un_012155_0040#0,"""No te preocupes, está bien. Ya me han marcado como un fracaso..."""
un_012155_0050#0,"""Creo que ya has visto suficiente para saber que no es inaudito que esos tipos sean eliminados inmediatamente."""
un_012155_0060#0,"""Además, creo que has notado algo más."""
un_012155_0070#0,"""No estoy preparada para este tipo de trabajo. No tengo aptitud para ello."""
un_012155_0080#0,"""soy del tipo de persona que le gusta estar en el centro de todos y, al mismo tiempo, obtener información de mi entorno."""
un_012155_0090#0,"""Pero ahora no hay nadie más. Hadred destruyó todo. Soy la única que queda."""
un_012155_0100#0,"""Y es por eso que estoy aquí cumpliendo un papel que nunca habría llenado de otra manera."""
un_012155_0110#0,"""Supongo que eso es lo que se conoce como destino."""
un_012155_0120#0,"""A.P.238/4/20"""
