un_012300_0005#0,"""【Investigación Solicitar al azar!】"""
un_012300_0010#0,"""¡Hola! soy Patty, ¿hay algo con lo que tengas problemas?"""
un_012300_0020#0,"""Todavía está un poco influida por la persona que conoció antes. y soy Tea."""
un_012300_0030#0,"""Parece que hay algo que realmente quieres preguntar. ¡Adelante, pregúntame cualquier cosa!"""
un_012300_0040#0,"""¿Alguna información sobre el Mecanismo de Investigación?"""
un_012300_0050#0,"""Sobre el accidente en el Centro de Investigación."""
un_012300_0060#0,"""¿Centro de investigación?"""
un_012300_0070#0,"""La División de Investigación de ARKS. Usted dio información sobre eso antes."""
un_012300_0080#0,"""Hm? ¿Realmente hablé de algo así? No lo recuerdo."""
un_012300_0090#0,"""Pero supongo que si usted dice que lo hice, entonces probablemente lo hice."""
un_012300_0100#0,"""Hm, ¿El accidente en la división de investigación?"""
un_012300_0110#0,"""¿Hubo un accidente? No recuerdo nada de eso."""
un_012300_0120#0,"""Tu eres la que le dijo a <%me> sobre esol!"""
un_012300_0130#0,"""Oh-? ¡Si! ¡Ya sé de qué estás hablando ahora!"""
un_012300_0140#0,"""Veo, así que sobre el Centro de Investigación ARKS, tiene los ojos en esa peligrosa información."""
un_012300_0150#0,"""El Centro de Investigación ARKS es muy secreto. Podríamos ser capaces de poner nuestras manos en alguna información, pero es un riesgo."""
un_012300_0160#0,"""Aun así, las palabras \""imposible\""  no existen en nuestro diccionario."""
un_012300_0170#0,"""Además, ya que preguntas por eso, no hay manera de que podamos rechazarlo. ¡Vayamos Tea!"""
un_012300_0180#0,"""Patty espera, \""imposible\"" es una palabra, idiota!"""
un_012300_0190#0,"""De todos modos, haremos nuestro mejor esfuerzo para tratar de obtener la información. Nos vemos la próxima vez."""
