un_012520_0005#0,"""【楽しんでいってねっ！】<br>仮テキスト"""
un_012520_0010#0,"""... And now for today's topic."""
un_012520_0020#0,"""The idol Quna who has become the symbol of ARKS-"""
un_012520_0030#0,"""Has been continuing her live tour of all the ARKS ships."""
un_012520_0040#0,"""Time put all of my energy into singing for you."""
un_012520_0050#0,"""There's one thing I need to say before we start."""
un_012520_0060#0,"""Sorry but no encores today!"""
un_012520_0070#0,"""But just so you're satisfied, I'm going to give it my all today!"""
un_012520_0080#0,"""Try to keep up, or you'll get left behind!"""
un_012520_0090#0,"""All of the tickets were sold out!"""
un_012520_0100#0,"""She only went to each ship once! I'll have to wait until next time!"""
un_012520_0110#0,"""No encore? That seems unusual for Quna..."""
