un_012200_0010#0,"""¡Esto realmente me molesta!"""
un_012200_0020#0,"""¿Está bien para mí tener un arrebato como este? Parece que sí. ¡Nadie sabe quién soy!"""
un_012200_0030#0,"""¡Pero más que esto, sólo me hace enojar!"""
un_012200_0040#0,"""No ser capaz de decir lo que es también me molesta!"""
un_012200_0050#0,"""Cuando usted tiene un montón de estrés ¿cómo le hace frente a ella?"""
un_012200_0060#0,"""Me concentro en la misión"""
un_012200_0070#0,"""Encontrar un pasatiempo"""
un_012200_0080#0,"""Realmente hablas en serio con ARKS, ¿no?"""
un_012200_0090#0,"""¿No crees que centrarse en la lucha es demasiado unilateral? Si eso es lo que te gusta, entonces supongo que está bien."""
un_012200_0100#0,"""¿Un pasatiempo? Es una buena idea."""
un_012200_0110#0,"""Supongo que tiene sentido concentrarse en lo que realmente te gusta hacer."""
un_012200_0120#0,"""¿Yo? En este tipo de situación me gusta cantar!"""
un_012200_0130#0,"""No te preocupes, no voy a salir y cantar aquí. Al menos tengo ese sentido común."""
un_012200_0140#0,"""Pero eso parece divertido! Un repentino salir de la nada! ¡Puedo intentarlo alguna vez!"""
un_012200_0150#0,"""A.P.238/4/4"""
