st_012045_0005#0,"""【悲痛なシュプレヒコール】<br>仮テキスト"""
st_012045_0010#0,"""ハドレッド……"""
st_012045_0020#0,"""（Rugido）!"""
st_012045_0030#0,"""No puedo soportar escuchar esa voz tan dolorosa."""
st_012045_0040#0,"""Pero, por favor, dime al final, ¿qué pasó en esa instalación ese día?"""
st_012045_0050#0,"""Para mí en el Escuadrón de la Muerte, ¿qué misión iba a ser asignada a mí?"""
st_012045_0060#0,"""¿No era eso? Si eso fuera todo, no armarías a un alboroto."""
st_012045_0070#0,"""¡Por eso es necesario que me lo digas, por favor Hadred!"""
st_012045_0080#0,"""¿Qué iba a pasarme?"""
st_012045_0090#0,"""……！"""
st_012045_0100#0,"""（咆吼）"""
st_012045_0110#0,"""Realmente, ¿hasta dónde irás para proteger un secreto? Eres realmente un idiota Hadred."""
st_012045_0120#0,"""A.P.238/4/15/11:20"""
