st_013000_0001#0,"""A.P.238/4/9/10:50"""
st_013000_0010#0,"""Alright! More challengers! Come on, the more that participate the more underlings I get to fire."""
st_013000_0020#0,"""The stage will be Naberius! Get through the forest with the highest score to retain your job."""
st_013000_0030#0,"""From the battle data from Dark Falz it's evident that all of you need to brush up, and I need entertainment."""
st_013000_0040#0,"""Anyways, hurry up and choose a partner, and head to the battle field."""
st_013000_0050#0,"""Invite Ohza"""
st_013000_0060#0,"""Invite Marlu"""
st_013000_0070#0,"""Invite Lisa"""
st_013000_0080#0,"""Next"""
st_013000_0090#0,"""Invite Afin"""
st_013000_0100#0,"""Invite Patty&Tea"""
st_013000_0110#0,"""Try going with out asking anyone"""
st_013000_0120#0,"""Return"""
