un_012310_0005#0,"""【依頼情報へいおまち！】<br>仮テキスト"""
un_012310_0010#0,"""Hola, perdón por hacerte esperar. ¡Patty, aquí!"""
un_012310_0020#0,"""Hola, Tea aqui."""
un_012310_0030#0,"""La Oficina de Información que no teme el alcance del Escuadrón de la Muerte. ¡Tenemos información fresca para usted!"""
un_012310_0040#0,"""Resulta que el Mecanismo de Investigación tenía dos funciones; Investigación sobre el otorgamiento de atributos de Photons a organismos vivos, y sobre Darkers."""
un_012310_0050#0,"""La investigación de Photons a un lado, la investigación Darker es muy sospechoso!"""
un_012310_0060#0,"""El accidente ocurrió en medio de un experimento, lo que plantea la pregunta, ¿en qué estaban experimentando?"""
un_012310_0070#0,"""Por desgracia, ahí es donde el sendero se seca! Y realmente quiero saber exactamente lo que pasó!"""
un_012310_0080#0,"""Pensamos que esto tomaría más tiempo para descubrir, pero cuando preguntamos sobre él nos encontramos con esta información enseguida."""
un_012310_0090#0,"""Parece como si esta información se filtró a propósito."""
un_012310_0100#0,"""Hm, Cuando se piensa en ello un poco no es obvio?"""
un_012310_0110#0,"""Desde la perspectiva de aquellos que quieren ocultarlo, una cobertura completa, parece sospechoso."""
un_012310_0120#0,"""Todavía tendrías que limpiar los cabos sueltos, y mentir probablemente conduciría a más preguntas."""
un_012310_0130#0,"""La respuesta es simple, permite que la causa se escape y se mantenga con una explicación razonable, pero nada más allá de eso."""
un_012310_0140#0,"""No sé cómo responder, Patty ¿acabas de decir algo inteligente?"""
un_012310_0150#0,"""Esta es la primera solicitud de recuperación de información que nos han confiado. ¡Es natural para mí darlo todo!"""
un_012310_0160#0,"""Desafortunadamente esta es la extensión de la información disponible para nosotros."""
un_012310_0170#0,"""Cualquier cosa más allá de esto depende de usted para averiguarlo."""
