un_012050_0001#0,"""？？？"""
un_012050_0010#0,"""... Hola."""
un_012050_0020#0,"""Veo que si me acerco por fuera de tu rango de visión no puedes notarme."""
un_012050_0030#0,"""Todavía no sé todas tus habilidades, pero estoy un poco más cerca de entender."""
un_012050_0040#0,"""Si necesito hablar contigo, vendré a buscarte."""
un_012050_0050#0,"""Preferiría que no hable de su final."""
un_012050_0060#0,"""Tengo una pregunta para ti."""
un_012050_0070#0,"""¿Has encontrado la localización del violento Dragonkin Hadred?"""
un_012050_0080#0,"""¿Realmente no sientes nada?"""
un_012050_0090#0,"""Sus sentidos para encontrar a otras personas son extremadamente buenos y sin embargo usted no puede sentir su presencia."""
un_012050_0100#0,"""Lo siento, parece que me adelanté."""
un_012050_0110#0,"""¿Por qué estás interesado en ese dragón?"""
un_012050_0120#0,"""Te refieres a Hadred?"""
un_012050_0130#0,"""Porque ese dragón es un traidor."""
un_012050_0140#0,"""Hadred Es especialmente fuerte, violento y sobre todo un traidor."""
un_012050_0150#0,"""Los traidores no pueden ser perdonados. Esta es la única ley de hierro de nuestra organización."""
un_012050_0160#0,"""Olvídate de lo que dije."""
un_012050_0170#0,"""Si encuentra dónde está, por favor póngase en contacto conmigo."""
un_012050_0180#0,"""A.P.238/3/15"""
