un_012640_0005#0,"""【Incomodidad en el placer】"""
un_012640_0010#0,"""Oh oh oh, Hola. ¡Qué casualidad verte aquí!"""
un_012640_0020#0,"""Parece que hay mucho más Darkers, pero es mejor de esta manera! Lisa puede disparar a todo lo que quiere!"""
un_012640_0030#0,"""Lisa aún no se ha topado con el rumorado dragón enloquecido, pero aún así, es divertido."""
un_012640_0040#0,"""Pero parece que todos los ARKS son unos cobarde."""
un_012640_0050#0,"""Con el renacimiento de Dark Falz, todo el mundo ya no confía en nuestros superiores."""
un_012640_0060#0,"""Lisa no entiende la razón de eso en absoluto."""
un_012640_0070#0,"""La verdad y la realidad no importan de todos modos."""
un_012640_0080#0,"""Es sencillo. Si hay un enemigo, dispara y los mata, ¿verdad?"""
un_012640_0090#0,"""Si dispara uno y más, entonces todo lo que tienes que hacer es disparar más! A Lisa le encanta este método!"""
un_012640_0100#0,"""Todavía hay muchas cosas que me gustaría disparar. Fufuufu, fufufuf."""
