un_012240_0010#0,"""Hadred, no necesitas mostrarse. Sólo quiero que me escuches por favor."""
un_012240_0020#0,"""Siempre has actuado en tu propio nombre, has sido violento, nunca has pensado en tus acciones, y nunca has escuchado a los demás."""
un_012240_0030#0,"""Es por mi que lo hiciste, ¿verdad? Pensaste que era para mí, pero nunca me preguntaste."""
un_012240_0040#0,"""Hadred, ¡Eres un Idiota!"""
un_012240_0050#0,"""¿Quién quería que hicieras algo así? ¿Quién te pidió que lo hicieras?"""
un_012240_0060#0,"""¿Alguna vez me he quejado de algo? ¿Alguna vez me he negado a hacer algo? ¡No pienses que puedes decidir por mí!"""
un_012240_0070#0,"""Incluso si siguiendo una orden y esta me conduce a la muerte, aun asi seguiría con ella. ¡Idiota!"""
un_012240_0080#0,"""Se supone que soy tu hermana mayor. ¡No creas que puedes cuidar de mi solo porque eres más grande que yo!"""
un_012240_0090#0,"""Ahora los ARKS están detrás de ti... tu... eres tan estúpido!"""
un_012240_0100#0,"""...Voy a terminar con esto. La muerte es lo que le espera a todos los traidores, y es mi trabajo completar su ejecucion."""
un_012240_0110#0,"""Voy a terminar contigo. Es mi responsabilidad hacerlo."""
un_012240_0120#0,"""Perdoname por el discurso. La próxima vez, vamos a terminar esto."""
un_012240_0130#0,"""A.P.238/4/22"""
