un_012560_0005#0,"""【あなたにとってアークスは……】<br>仮テキスト"""
un_012560_0010#0,"""Ah, <%me>. Seems like every time I run into you, you're investigating something."""
un_012560_0020#0,"""That seems exemplary as an ARKS, but..."""
un_012560_0030#0,"""Ah, screw it. This is a good time, there's something I'd like to ask you."""
un_012560_0040#0,"""The ARKS organization was hiding the ruins on Naberius. But beyond that, don't you find something odd?"""
un_012560_0050#0,"""It gives you the sense that we can't trust our superiors."""
un_012560_0060#0,"""That's not something I should say out loud. Sorry for the senseless question."""
un_012560_0070#0,"""Maria said that you should find out what you need to know and decide for yourself. I suppose I agree with that."""
un_012560_0080#0,"""Take the initiative to investigate and find things out on your own."""
un_012560_0090#0,"""That way, you have the information you need when it comes down to making a decision."""
un_012560_0100#0,"""But since you figured out the secret on Naberius, you don't need to hear this from me."""
un_012560_0110#0,"""Sorry to waste your time with senseless talk."""
un_012560_0120#0,"""I'm going to get going, later."""
