ra_010670_0010#0,"""<%me>! ¡Finalmente lo resolví!"""
ra_010670_0020#0,"""Los resultados de los datos de tundra... Me di cuenta lo que las partículas Darker indican."""
ra_010670_0030#0,"""Esa tundra se formó hace 40 años."""
ra_010670_0040#0,"""Y probablemente como resultado por Darkers."""
ra_010670_0050#0,"""¿Cómo se formó? Como resultado de un ataque. ¿Por Darkers?"""
ra_010670_0060#0,"""No. por Dark Falz."""
ra_010670_0070#0,"""Las fechas coinciden exactamente. No sé cómo he pasado por alto esa informacion tan simple antes."""
ra_010670_0080#0,"""Hace 40 años, fue derrotado por Tres Héroes ARKS. Esta debe haber sido la ubicación de la batalla."""
ra_010670_0090#0,"""Originalmente, no había hielo en Naberius. Era un planeta sereno y verde."""
ra_010670_0100#0,"""Sin embargo, un ataque de Dark Falz fue suficiente para cambiar el ambiente del planeta. Y así, la tundra se formó."""
ra_010670_0110#0,"""Esta teoría parece ajustarse a las lecturas anormales y a las diferencias extremas de temperatura."""
ra_010670_0120#0,"""Pero eso no parece una razón suficiente para que los ARKs intenten matarme. Tiene que haber algo más"""
ra_010670_0130#0,"""A.P.238/3/31"""
