st_010060_fs_0005#0,"""A.P.238/2/20/11:30"""
st_010060_fs_0070#0,"""뭐, 뭐야! ?"""
st_010060_fs_0080#0,"""관제에서 각 아크스에게 긴급연락!<br>행성 나베리우스에 코드D 발령!<br>포톤 계수가 위험영역에 도달했습니다!"""
st_010060_fs_0090#0,"""반복합니다.<br>행성 나베리우스에 코드D가 발령!"""
st_010060_fs_0095#0,"""공간침식을 관측. 출현합니다!"""
st_010060_fs_0100#0,"""어, 어이 파트너! 저거!"""
st_010060_fs_0110#0,"""거짓말이지… 아무것도 없는 곳에서<br>새까만 놈들이 나타났어…?"""
st_010060_fs_0130#0,"""다커 출현을 관측!<br>공간허용한계를 넘어섰습니다!"""
st_010060_fs_0140#0,"""모든 아크스에게 알립니다!<br>최우선 명령 코드에 의해<br>다커에 대한 계엄령이 내려졌습니다!"""
st_010060_fs_0150#0,"""이 녀석들이… 다커?<br>아크스의 적이며, 우주의 적이고<br>…모든 것을 먹어치우는 자"""
st_010060_fs_0160#0,"""왜냐고! 어째서냐고!<br>나베리우스에는 없는 거 아니였냐고!"""
st_010060_fs_0170#0,"""…!"""
st_010060_fs_0180#0,"""…이야, 무서울 정도로 딱 맞아떨어졌네.<br>무슨 일이 일어났을 때를<br>대비해 대기한게 정답이었네."""
st_010060_fs_0190#0,"""구원하러 와 주신거군요!<br>다행이다, 살았어…"""
st_010060_fs_0200#0,"""안심하고있을 여유는 없다고.<br>자. 회수 포인트는 이 앞이다.<br>돌파하자고!"""
st_010060_fs_0210#0,"""자, 잠깐!<br>우리들도 싸우는겁니까?"""
st_010060_fs_0220#0,"""아크스니까 당연하잖아?<br>봐. 너와는 달리 저 녀석은<br>단단히 준비하고 있다고?"""
st_010060_fs_0230#0,"""어, 어이, 파트너…<br>…하아, 알겠어요, 알겠다고요.<br>할 수 밖에 없다 라고 말하고 싶은 거지?"""
st_010060_fs_0240#0,"""너. 첫 출전인 것치곤 대담하네.<br>꽤나 장래성이 있어보이는…데<br>으음? 아니, 잠깐 실례할게."""
st_010060_fs_0250#0,"""그 얼굴, 어디서 본적이 있는것 같은데…<br>어디서였더라."""
st_010060_fs_0260#0,"""뭐, 나중에 생각해도 되겠지.<br>그럼 가보자고. 루키들.<br>제대로 따라오라고!"""
skit01#0,"""The day I was waiting for"""
skit02#0,"""서장 계속 이 날을 기다리고 있었어"""
