ra_010610_0010#0,"""<%me>, Tengo nueva información."""
ra_010610_0020#0,"""Encontré algunas anomalías después de analizar los datos de la investigación el otro día."""
ra_010610_0030#0,"""Primero, el bosque parece haberse desarrollado naturalmente, pero la formación de la tundra parece mucho más reciente."""
ra_010610_0040#0,"""En cuanto a cómo se formó, un impacto de un meteorito lo explicaría, excepto que no hay nada que indique el porque."""
ra_010610_0050#0,"""Además, los datos de tundra son muy variados. En algunos lugares, no hay lecturas en absoluto."""
ra_010610_0060#0,"""Como si algo estubiera obstruyendo mis lecturas..."""
ra_010610_0070#0,"""Esto está más allá de una mera conjetura. Definitivamente hay algo sospechoso sucediendo."""
ra_010610_0080#0,"""Se suponía que Naberius era un planeta primitivo poco desarrollado, pero estos datos..."""
ra_010610_0090#0,"""Esta vez, voy a investigar directamente. Sé que es peligroso, pero no hay otra opción"""
ra_010610_0100#0,"""En cuanto a lo que sé ... hasta ahora, eres la única persona que he contado."""
ra_010610_0110#0,"""He llegado a una etapa en la que puedo tomar un descanso, voy a estar en el vestíbulo si me necesitas."""
ra_010610_0120#0,"""A.P.238/3/18"""
