un_013120_0010#0,"""Hola soy Patty, la distribuidora de información número uno en ARKS!"""
un_013120_0020#0,"""Tea aqui. Y no sigas diciendo eso, sólo aumentas mi carga de trabajo."""
un_013120_0030#0,"""¿Has oído hablar de ello, verdad?"""
un_013120_0040#0,"""El conector del monitor, el otro día! Así es, el Campeonato ARKS!"""
un_013120_0050#0,"""Aparte de la molestosa presentación parece ARKS realmente tiene estos campeonatos de vez en cuando!"""
un_013120_0060#0,"""Creo que es para hacer sudar a la gente y hacer que recuerden dónde trabajan. ¿Parece que estamos haciendo algo?"""
un_013120_0070#0,"""Pero justo después de esa gran batalla, ahora simplemente no parece el momento adecuado."""
un_013120_0080#0,"""Pero todavía parece que una Idol viene de una de las naves civiles, así que podría ser divertido."""
un_013120_0090#0,"""Realmente no hay manera de saber qué va a pasar, lo mejor es relajarse y hacerlo."""
un_013120_0100#0,"""¡Sí! Mejor no poner nada pensado en ello! Pero nunca he puesto el pensamiento en algo de todos modos!"""
un_013120_0110#0,"""Para Patty la mitad es descansar y la otra mitad juguetear."""
