un_010090_0010#0,"""Hey, <%me>.<br>¿Tienes un momento?"""
un_010090_0020#0,"""Porque si lo haces, ¿te importaría sacar a Echo de mis manos?"""
un_010090_0030#0,"""Hey, ¡Zeno! ¿Qué está tratando de hacer? ¡Voy contigo!"""
un_010090_0040#0,"""Acabas de decir que no ibas. ¿Por qué siempre cambias de opinión cada minuto?"""
un_010090_0050#0,"""Es posible que no quiero ir! Pero si usted va, entonces yo también voy!"""
un_010090_0060#0,"""Si no quieres ir, no tienes por que hacerlo. Espera aquí un poco..."""
un_010090_0070#0,"""¡De ninguna manera! ¡Yo también voy! ¡No puedo dejar que corras por tu cuenta y te lastimes!"""
un_010090_0080#0,"""……へーいへい。"""
un_010090_0090#0,"""Lo sientro, <%me>, Pero parece que Echo está pegada a mi."""
un_010090_0100#0,"""Es un verdadero dolor. Pero supongo que no tengo elección."""
un_010090_0110#0,"""Hey, Zeno, ¡vamonos! No recurrire a <%me>."""
un_010090_0120#0,"""Debes hablar..."""
