un_012100_0001#0,"""？？？"""
un_012100_0010#0,"""♪（Cantando, pero ¿qué pasa con la canción en sí<br>Una cansion sin melodia. ¿Puedes hacerlo?）"""
un_012100_0020#0,"""Hm? Ah!"""
un_012100_0030#0,"""¿Cómo explicar esto? Es uh ... no lo que estás pensando!"""
un_012100_0040#0,"""Que?"""
un_012100_0050#0,"""¡Cuidado!"""
un_012100_0060#0,"""Corre!"""
un_012100_0070#0,"""...Aaaahhhh!"""
un_012100_0080#0,"""Hadred! ¿Qué hace un traidor como tú aquí?"""
un_012100_0090#0,"""Para salvarme de un darker-"""
un_012100_0100#0,"""¿Estás tratando de hacerme estar en deuda con tigo, o intentas reparar tu traición?"""
un_012100_0110#0,"""¡Es demasiado tarde! ¡Ya es demasiado tarde!"""
un_012100_0120#0,"""¿Por qué nos traicionaste? ¿Por qué me traicionaste?"""
un_012100_0130#0,"""Espera! Hadred! Hadred!"""
un_012100_0140#0,"""No corras! ¡Pelea conmigo!"""
un_012100_0150#0,"""A.P.238/4/10"""
