un_012510_0005#0,"""【¡Vayamos brillante e intensamente!】"""
un_012510_0010#0,"""El siguiente es el tema de hoy es."""
un_012510_0020#0,"""La artista conocida como Quna, que ha llegado a ser reconocida como la imagen de ARKS..."""
un_012510_0030#0,"""Ha comenzado su gira en vivo en todas las naves ARKS."""
un_012510_0040#0,"""¡Gracias a todos por venir hoy!"""
un_012510_0050#0,"""¡Voy a dar todo lo que tengo y cantar para ustedes!"""
un_012510_0060#0,"""Voy a seguir todo el tiempo que quieran. Todos, olvídense de las cosas pequeñas; ¡Y disfruten!"""
un_012510_0070#0,"""¡Hora de dar lo mejor de mi!, ¡Sigamos con el concierto, en marcha!"""
un_012510_0080#0,"""Hombre, Quna es tan linda."""
un_012510_0090#0,"""¡Yo también quería ir!, ¡Quiero ver a Quna en persona!"""
un_012510_0100#0,"""¡Gracias a todos por venir hoy!"""
un_012510_0110#0,"""¡Voy a poner todo en está canción para ustedes!"""
un_012510_0120#0,"""Voy a seguir cantando todo el tiempo que quieran. Todos, olvídense de las cosas pequeñas; ¡Disfrutenlo!"""
un_012510_0130#0,"""¡Hora de dar lo mejor de mi!, ¡Sigamos con el concierto, en marcha!"""
un_012510_0140#0,"""¡Quna es tan linda!"""
un_012510_0150#0,"""Maldita sea, yo también quería ir. ¡Quiero ver a Quna en persona!"""
