un_012220_0010#0,"""¿Qué? ¿Quieres saber por qué me convertí en una Idol?"""
un_012220_0020#0,"""¿Sabes la respuesta a eso y todavía quieres preguntarme?"""
un_012220_0030#0,"""Sabes, hacer preguntas a las que ya conoces las respuestas es un buen atajo para ser odiado."""
un_012220_0040#0,"""Pero voy a complacerte. Me convertí en una Idol simplemente porque me ordenaron hacerlo."""
un_012220_0050#0,"""Podría ser divertido tener la oportunidad de hablar con una Idol, pero hay algo que debo mencionar."""
un_012220_0060#0,"""Si alguna información innecesaria se filtra, entonces tendré que usar mi otro papel, así que ten cuidado."""
un_012220_0070#0,"""La información que te di ahora es estrictamente secreta, ¿entiendes?"""
un_012220_0080#0,"""Hm, No sé por qué, pero cuando hablo contigo tiendo a decir demasiado..."""
un_012220_0090#0,"""Tal vez es porque no estoy acostumbrada a hablar? De todas maneras, mantén la boca cerrada y todo saldrá bien."""
un_012220_0100#0,"""De alguna manera siento que fue el destino, ser elegida para desempeñar el papel de Idol..."""
un_012220_0110#0,"""Al cantar de alguna manera siento que traer felicidad a otros. Eso... me hace sentir bien."""
un_012220_0120#0,"""A.P.238/4/16"""
