un_012290_0010#0,"""Hola, soy Tea. Hola Patty, di hola también."""
un_012290_0020#0,"""Oh, Patty, aquí."""
un_012290_0030#0,"""Para explicar como una extensión de la información de antes, también hay un [Escuadrón de la Muerte] en ARKS."""
un_012290_0040#0,"""No hay pruebas firmes, pero parece que hay rumores de que hay alguien en ARKS que limpia los cabos sueltos."""
un_012290_0050#0,"""Así que Patty está preocupada por la posibilidad de que ella sea atacada por saber demasiado."""
un_012290_0060#0,"""¿Pero un [escuadrón de la muerte]? Eso es lo que hacen bien, deshacerse de la gente?"""
un_012290_0070#0,"""Son el tipo de personas que dicen en voz baja, \""Usted sabe demasiado,\"" Justo antes de cortar tu garganta ¿verdad?"""
un_012290_0080#0,"""No creo que ellos cambien su manera de actuar como si estuvieran en una película."""
un_012290_0090#0,"""Pero incluso si es el Escuadrón de la Muerte, su trabajo principal parece girar en torno a destruir Darkers."""
un_012290_0100#0,"""¿Oh enserio? Supongo que estoy bien entonces."""
un_012290_0110#0,"""Pero si usted corre alrededor de gritar la información sensible a cada uno, todavía hay una ocasión que usted pueda conseguir apuntado sin embargo."""
un_012290_0120#0,"""¡Estoy en problemas!"""
